en,fr,it,de,es,ko,kana
It’s soft soil.,Le sol est meuble.,Il terreno è soffice.,Der Lehmboden vor dir ist weich.,Esta tierra está blanda.,푹신푹신한 흙이다,ふかふかの　つちだ
Let’s plant a Berry!,Plantez donc une Baie !,Pianta una bacca!,Pflanze eine Beere ein!,¡A plantar bayas!,나무열매를 심자!,きのみを　うめよう！
Planted [VAR iCOLOR2(0001)][VAR ITEM2(0001)]!,Vous plantez une [VAR ITEM2(0001)] !,Hai piantato una [VAR ITEM2(0001)]!,Du hast eine [VAR ITEM2(0001)] eingepflanzt!,Has plantado una [VAR ITEM2(0001)].,[VAR ITEM2(0001)][VAR 1900(0002)] 심었다!,[VAR ITEM2(0001)]を　うめた！
This is where you planted the [VAR ITEM2(0001)]!,"Ici, vous avez planté une [VAR ITEM2(0001)].",Qui è stata piantata una [VAR ITEM2(0001)]!,Hier hast du eine [VAR ITEM2(0001)] eingepflanzt.,Aquí hay plantada [VAR 1702(0001)][VAR ITEM2(0001)].,[VAR ITEM2(0001)][VAR 1900(0002)] 심었던 장소다!,[VAR ITEM2(0001)]を　うめた　ばしょだ！
The [VAR BERRY(0007)] is sprouting!,Une pousse d’arbuste à Baies [VAR BERRY(0007)] sort du sol !,È spuntato un germoglio di [VAR BERRY(0007)]!,Die [VAR BERRY(0007)]beere treibt Keime!,La Baya [VAR BERRY(0007)] ha germinado.,[VAR BERRY(0007)]의 싹이 나왔다!,[VAR BERRY(0007)]の　めが　でてきた！
The [VAR BERRY(0007)]’s trunk is getting bigger!,Le tronc de l’arbuste à Baies [VAR BERRY(0007)] s’épaissit !,La pianta di [VAR ITEMPLUR1][VAR BERRY(0007)] è diventata grande!,Der Stamm des [VAR BERRY(0007)]baumes ist gewachsen!,El tronco del arbusto de Baya [VAR BERRY(0007)] ha crecido.,[VAR BERRY(0007)]의 줄기가 커다랗게 자랐다!,[VAR BERRY(0007)]の　みきが おおきく　なってきた！
The [VAR BERRY(0007)] tree is in bloom!,L’arbuste à Baies [VAR BERRY(0007)] est en fleurs !,Sono spuntati dei fiori di [VAR BERRY(0007)]!,Der [VAR BERRY(0007)]baum steht in Blüte!,El arbusto de Baya [VAR BERRY(0007)] ha florecido.,[VAR BERRY(0007)]의 꽃이 피어 있다!,[VAR BERRY(0007)]の はなが　さいている！
The soil is damp. You don’t have to water it.,La terre est gorgée d’eau. Inutile d’arroser.,Il terreno è umido. Non c’è bisogno di annaffiarlo.,Der Boden ist ausreichend bewässert. Es muss vorerst nicht gegossen werden.,La tierra ya está bastante mojada.,땅이 촉촉하다 이대로도 괜찮아 보인다,つちは　しっとり　している このままでも　だいじょうぶそうだ
The soil is dry... Would you like to water it?,La terre est desséchée. Voulez-vous arroser ?,Il terreno è asciutto... Vuoi annaffiarlo?,Der Boden ist sehr trocken! Möchtest du den Boden bewässern?,La tierra está seca. ¿Quieres regarla?,땅이 건조하다... 물을 주겠습니까?,つちが　かんそう　している…… みずを　あげますか？
"You watered the soil, and now it’s nice and damp.","Grâce à ce bon arrosage, le sol est plus fertile !",Il terreno è stato annaffiato e ora è umido!,Dank der Bewässerung ist der Boden nun feucht und fruchtbar!,Has regado bien la tierra y ahora ya es más fértil.,물을 줘서 땅이 촉촉해졌다!,みずを　あげて つちが　うるおった！
"The [VAR ITEMPLUR0][VAR ITEM2(0001)] tree has [VAR NUM2(0003)] Berr[VAR NUMBRNCH(0003,0301)]yies!","L’arbuste à [VAR ITEMPLUR1][VAR ITEM2(0001)] a donné [VAR NUM2(0003)] Baie[VAR NUMBRNCH(0003,0100)]s !","La pianta di [VAR ITEMPLUR1][VAR ITEM2(0001)] ha prodotto [VAR NUM2(0003)] bacc[VAR NUMBRNCH(0003,0201)]ahe!",Der [VAR ITEM2(0001)]baum trägt [VAR NUM2(0003)] [VAR ITEM2(0001)]!,"El arbusto de [VAR ITEM2(0001)] ha dado [VAR NUM2(0003)] baya[VAR NUMBRNCH(0003,0100)]s.",[VAR ITEM2(0001)][VAR 1900(0003)] [VAR NUM2(0003)]개 열려 있다!,[VAR ITEM2(0001)]が [VAR NUM2(0003)]こ　できている！
"Harvested [VAR NUM2(0003)] Berr[VAR NUMBRNCH(0003,0301)]yies from the [VAR ITEMPLUR0][VAR ITEM2(0001)] tree!","[VAR NUM2(0003)] Baie[VAR NUMBRNCH(0003,0100)]s récoltée[VAR NUMBRNCH(0003,0100)]s sur l’arbuste à [VAR ITEMPLUR1][VAR ITEM2(0001)] !","Prendi [VAR NUM2(0003)] bacc[VAR NUMBRNCH(0003,0201)]ahe dalla pianta di [VAR ITEMPLUR1][VAR ITEM2(0001)]!",Du hast [VAR NUM2(0003)] [VAR ITEM2(0001)] geerntet!,"Has cosechado [VAR NUM2(0003)] baya[VAR NUMBRNCH(0003,0100)]s del arbusto de [VAR ITEM2(0001)].",[VAR ITEM2(0001)][VAR 1900(0002)] [VAR NUM2(0003)]개 땄다!,[VAR ITEM2(0001)]を [VAR NUM2(0003)]こ　とった！
The Bag was full. You gave up the [VAR ITEMPLUR0][VAR ITEM2(0001)] crop.,Vous n’avez plus de place pour cet objet… Récolte annulée.,Hai raggiunto il limite per questo oggetto. Non puoi raccogliere le bacche della pianta di [VAR ITEM2(0001)].,"Die [VAR ITEMPLUR1][VAR ITEM2(0001)]ernte wurde abgebrochen, da du bereits genug davon trägst.","No caben más en la Bolsa, así que no se ha recogido ninguna [VAR ITEM2(0001)].",가방이 가득 찼다 [VAR ITEM2(0001)][VAR 1900(0002)] 포기했다,バッグは　いっぱい　だった [VAR ITEM2(0001)]を　あきらめた
Put the [VAR ITEMPLUR0][VAR ITEM2(0001)] crop in the Bag! The soil is ready to be planted again.,La récolte de l’arbuste à [VAR ITEMPLUR1][VAR ITEM2(0001)] est terminée ! Le sol est à nouveau meuble.,Metti nella Borsa il raccolto della pianta di [VAR ITEMPLUR1][VAR ITEM2(0001)]. Il terreno è tornato soffice.,Du hast die [VAR ITEMPLUR1][VAR ITEM2(0001)]ernte beendet! Der Lehmboden ist wieder weich.,Has metido la cosecha de [VAR ITEM2(0001)] en la Bolsa. La tierra se ha reblandecido.,[VAR ITEM2(0001)][VAR 1900(0002)] 가방에 넣었다! 푹신푹신한 흙으로 돌아왔다,[VAR ITEM2(0001)]を　バッグにしまった！ ふかふかの　つちに　もどった
The soil is dry...,La terre est desséchée.,Il terreno è asciutto...,Der Boden ist sehr trocken!,La tierra está seca...,땅이 건조하다...,つちが　かんそう　している……
