Index,en,fr,es
0,Pressing \k[X] opens the Menu.,Appuyer sur \k[X] ouvre le menu. ,Presiona \k[X] para abrir el menú.
1,"Entering \c[2]\\k[KeyName]\c[0] in a message shows the keyboard key the player bound to the PSDK virtual key. The KeyNames are A, B, X, Y, DOWN, UP, LEFT, RIGHT, L and R.","Entrer \c[2]\\k[NomTouche]\c[0] affiche dans le message la touche réelle du clavier liée à la touche virtuelle de PSDK. Les noms de touche sont A, B, X, Y, down, up, left, right, L et R.",
2,"Hello! The Show Message commands I use are linked to the Text Database. Meaning when you change the Game language, the translation is automatically done! Awesome, isn't it?","Bonjour ! Les commandes de message que j'utilise sont liées aux textes de la Base de Données. Ainsi, si vous changez la langue de votre jeu, la traduction se fera automatiquement ! Génial, non ?",
3,Straight ahead : Trai Cave,Tout droit : Grotte de l'Aissay,
4,,,
5,"\c[2]Beauty Judith:\c[0] I like giving a nickname to my Pokémon. I recognize them more easily and it gives them a unique touch. I called my \t[0,511] Broccoli because that's what I thought about when I caught it.\nlAnd you, don't you want to rename your first Pokémon?","\C[2]Judith le Canon :\C[0] J'adore donner un surnom à mes Pokémon. Je les reconnais plus facilement et ça leur donne un petit côté unique. Mon Feuillajou s'appelle Brocoli, car c'est à ça que j'ai pensé quand je l'ai capturé. Et toi, tu veux pas renommer ton premier Pokémon ?",
6,Of course!,Bien sûr !,
7,No thanks,"Non, merci",
8,\c[2]Beauty Judith:\c[0] Come back if you change your mind!,\C[2]Judith le Canon :\C[0] Reviens me voir si tu changes d'avis !,
9,,,
10,"\c[2]Lovis the nasty:\c[0] Hi! I'm training my Floatzel. Since the red beret boy beat me, I'm giving my all to never go under again.","\C[2]Lovis le Teigneux :\C[0] Salut ! J'entraine mon Mustéflott. Depuis que ce gamin au béret rouge m'a battu, je compte bien tout faire pour ne plus jamais boire la tasse !",
11,,,
12,\c[2]Fisherman Vincent:\c[0] Take this rod and try it!,"\C[2]Vincent le Pêcheur :\C[0] Prends cette canne, essaye !",
13,,,
14,\c[2]Painter David:\c[0] I'm David. Famous painter.\nlI'd like to show my nickname with a text insertion but it looks like this:,"\C[2]David le Peintre :\C[0] Je m'appelle David. Peintre de renom. Le problème c'est que quand je veux afficher mon nom avec une insertion de texte, ça donne ça :",
15,"\c[2]\t[29,27] David:\c[0] My message content.","\C[2]\t[29,27] David :\C[0] Le contenu de mon message.",
16,\c[2]David:\c[0] You are a \f[girl§boy]!,\C[2]David :\C[0] Tu es un\E \F[fille§garçon] !,
17,,,
18,"\c[2]Michel:\c[0] This town is a real haven of peace. The day, the sunshine reflects on the treetops, it's magnificent.","\C[2]Michel :\C[0] Ce village est un véritable havre de paix. La journée, les rayons de soleil se reflètent sur la cime des arbres, c'est magnifique.",
19,"\c[2]Michel:\c[0] This town is a real haven of peace. Even at night, we feel at home.",\C[2]Michel :\C[0] Ce village est un véritable havre de paix. Même de nuit on s'y sent comme chez soi.,
20,,,
21,,,
22,"\c[2]Roughneck Hervé:\c[0] Hey, you! Did you know that to look mighty you can walk with all your Pokémon party following you? It's better to go out in band, roughneck word!\nlYou can enable the FollowMe system with the switch 19 and manage the number of following Pokemon with the variable 19.","\C[2]Hervé le Loubard :\C[0] Hé, toi ! Tu savais que pour avoir l'air plus balèze, tu peux marcher avec toute ton équipe de Pokémon derrière toi ? C'est mieux de sortir en bande, parole de Loubard ! Tu peux activer le FollowMe avec l'interrupteur 19 et gérer le nombre de Pokémon à ta suite avec la variable 19.",
23,\c[2]Roughneck Hervé:\c[0] I switch the FollowMe system on or not?,\C[2]Hervé le Loubard :\C[0] J't'active le Pokémon suiveur ou pas ?,
24,\c[2]Roughneck Hervé:\c[0] How many Pokémon should follow you?,\C[2]Hervé le Loubard :\C[0] Tu veux combien de Pokémon derrière toi ?,
25,Only one Pokémon,Un seul Pokémon,
26,Two Pokémon,Deux Pokémon,
27,The whole party!,Toute l'équipe !,
28,"\c[2]Roughneck Hervé:\c[0] No problem, I leave you alone, kiddo.
","\C[2]Hervé le Loubard :\C[0] Pas de problème, j'te laisse tranquille le mioche.",
29,,,
30,To the left: Peehaisse-Dee-Kay forest\nlTo the right: Peehaisse-Dee-Kay Town,À Gauche : Forêt de Péhaisse-de-Cas\nlÀ Droite : Village Péhaisse-de-Cas,
