en,fr,it,de,es,ko,kana
●●,●●,●●,●●,●●,●●,●●
You encountered a wild [VAR PKNAME(0000)]!,Un [VAR PKNAME(0000)] sauvage apparaît !,"Ah! È apparso [VAR 1002][VAR 1502(0000,0001)][VAR PKNAME(0000)] selvatico!",Ein [VAR PKNAME(0000)] (wild) erscheint!,¡Un [VAR PKNAME(0000)] salvaje te corta el paso!,앗! 야생 [VAR PKNAME(0000)][VAR 1900(0003)] 튀어나왔다!,あっ！　やせいの [VAR PKNAME(0000)]が　とびだしてきた！
Whoa! A wild [VAR PKNAME(0000)] leaped out!,Oh ! Un [VAR PKNAME(0000)] sauvage vous bondit dessus !,"Argh! È sbucato [VAR 1002][VAR 1502(0000,0001)][VAR PKNAME(0000)] selvatico!",Huch! Ein [VAR PKNAME(0000)] (wild) greift an!,¡Oh! ¡Un [VAR PKNAME(0000)] salvaje se abalanza sobre ti!,우왓! 야생 [VAR PKNAME(0000)][VAR 1900(0003)] 덮쳐왔다!,うわっ！　やせいの [VAR PKNAME(0000)]が　とびかかってきた！
Oh! A wild [VAR PKNAME(0000)] appeared!,Un [VAR PKNAME(0000)] sauvage apparaît !,"Oh! È apparso [VAR 1002][VAR 1502(0000,0001)][VAR PKNAME(0000)] selvatico!",Ein [VAR PKNAME(0000)] (wild) erscheint!,¡Un [VAR PKNAME(0000)] salvaje te corta el paso!,앗! 야생 [VAR PKNAME(0000)][VAR 1900(0003)] 나타났다!,あっ！　やせいの [VAR PKNAME(0000)]が　あらわれた！
You encountered a wild [VAR PKNAME(0000)]!,Un [VAR PKNAME(0000)] sauvage apparaît !,"È apparso [VAR 1002][VAR 1502(0000,0001)][VAR PKNAME(0000)] selvatico!",Ein [VAR PKNAME(0000)] (wild) erscheint!,¡Un [VAR PKNAME(0000)] salvaje te corta el paso!,야생 [VAR PKNAME(0000)][VAR 1900(0003)] 나타났다!,やせいの [VAR PKNAME(0000)]が　あらわれた！
Whoa! The [VAR PKNAME(0000)] you stepped on attacked!,Oh ! Votre monture a failli écraser un [VAR PKNAME(0000)]... Il vous attaque !,"Argh! Stavi per calpestare [VAR 1002][VAR 1502(0000,0001)][VAR PKNAME(0000)]!","Huch! Ein [VAR PKNAME(0000)], das du beinahe zertrampelt hättest, greift an!",¡Es el [VAR PKNAME(0000)] que acabas de pisar!,우왓! 밟은 [VAR PKNAME(0000)][VAR 1900(0003)] 덮쳐왔다!,うわっ！　ふみつけた [VAR PKNAME(0000)]が　とびかかってきた！
[VAR PKNAME(0000)] appeared!,[VAR PKNAME(0000)] apparaît !,È apparso [VAR PKNAME(0000)]!,[VAR PKNAME(0000)] erscheint!,¡Es [VAR PKNAME(0000)]!,[VAR PKNAME(0000)][VAR 1900(0003)] 나타났다!,[VAR PKNAME(0000)]が　あらわれた！
Whoa! A horde of [VAR PKNAME(0000)] appeared!,Oh ! Une horde de Pokémon sauvages apparaît !,Argh! È apparso un gruppo di Pokémon selvatici!,Eine Gruppe Pokémon (wild) erscheint!,¡Te has topado con una horda de Pokémon salvajes!,우왓! [VAR PKNAME(0000)] 무리와 조우했다!,うわっ！　[VAR PKNAME(0000)]の　むれに そうぐうした！
[~ 8],[~ 8],[~ 8],[~ 8],[~ 8],[~ 8],[~ 8]
"[VAR BD06(0000)]You are challenged by [VAR 1300(0000,0000)][VAR 010E(0000)] [VAR TRNAME(0001)]!","[VAR BD06(0000)][VAR 1401(0000,0000)][VAR TRNAME(0000)] veu[VAR NUMBRNCH(0000,0300)]lent se battre !","[VAR BD06(0000)]Parte la sfida [VAR 1100(0000,0300)]di [VAR 1504(0001,0000)][VAR TRNAME(0001)] ([VAR 010E(0000)])!","[VAR TRNAME(0000)] forder[VAR NUMBRNCH(0000,0101)]tn dich heraus!","¡[VAR 1701(0000,0000)][VAR TRNAME(0000)] te desafía[VAR NUMBRNCH(0000,0100)]n!",[VAR 010E(0000)] [VAR TRNAME(0001)][VAR 1900(0003)] 승부를 걸어왔다!,[VAR 010E(0000)]の　[VAR TRNAME(0001)]が しょうぶを　しかけてきた！
[VAR TRNAME(0000)] is issuing a challenge!,[VAR TRNAME(0000)] veut se battre !,Parte la sfida con [VAR TRNAME(0000)]!,[VAR TRNAME(0000)] möchte mit dir kämpfen!,¡[VAR TRNAME(0000)] quiere combatir contra ti!,[VAR TRNAME(0000)][VAR 1900(0003)] 승부를 걸어왔다!,[VAR TRNAME(0000)]が しょうぶを　しかけてきた！
