Index,en,fr
0,TEXT,"Bonjour et bienvenue au \t[10, 9] de \t[10, 8].\nl"
1,TEXT,"Informations sur le \t[10, 9]."
2,TEXT,"Modalités d'admission au \t[10, 9]."
3,TEXT,"Obtenir une \c[1]\t[12, 921]\c[0]."
4,TEXT,"Rien, merci."
5,TEXT,"Le \t[10, 9] est l'endroit privilégié pour les meilleurs dresseurs de la région !\nlNous sommes très sélectifs sur nos admissions car en entrant dans le \t[10, 9], vous bénéficiez d'un réseau incroyable de dresseurs d'exception.\nlNous ne pouvons pas nous permettre de laisser entrer n'importe qui."
6,TEXT,"Seuls les dresseurs recommandés par un de nos membres peuvent se présenter aux admissions.\nlSi vous connaissez un dresseur membre du \t[10,9], vous pouvez lui demander de vous accompagner pour vous recommander. Votre inscription n'est pas recevable dans le cas contraire."
7,TEXT,Je suis désolé mais malheuresement toutes nos accréditations pour cette année ont été délivrées.\nlCelles-ci sont de toute façon réservées en priorité à nos membres les plus influents.
8,TEXT,Au revoir et bonne journée.
9,TEXT,En quoi puis-je vous aider ?
10,TEXT,"Désolé, cet endroit est exclusivement réservé à nos membres.\nlVous ne pouvez pas y entrer !"
11,TEXT,"Attends, jeune \f[femme§homme] !"
12,TEXT,"Je t'ai entendu discuter avec la réceptionniste.\nlJ'ai cru comprendre que tu souhaites acquérir une \c[1]\t[12, 921]\c[0], c'est bien ça, n'est ce pas ?\nlNous pourrions peut-être nous arranger..."
13,TEXT,"En tant que membre influent du \t[10,9], je dispose de quelques \c[1]\t[12, 921]\c[0]."
14,TEXT,Que dirais-tu de m'en acheter une pour 50000$ ?
15,TEXT,C'est hors de question !
16,TEXT,C'est bien trop cher.
17,TEXT,"Si tu penses que tu as le choix, fais comme tu veux.\nlTu vas surement avoir du mal à t'en procurer une ici.\nlAucun des membres du \t[10, 9] présents dans cette ville ne voudra te céder la sienne."
18,TEXT,Tu sais ou me trouver si tu changes d'avis.
19,TEXT,"Hmm... Je vois que tu as obtenu ton \c[1]\t[12, 921]\c[0].\nlJe suis curieux de savoir comment tu as obtenu ça..."
20,TEXT,":[name=Walter, Champion de \t[10, 8]]:Comme je le disais, cette \c[1]\t[12, 921]\c[0] doit être désenregistrée, son possesseur ne s'en servira pas.\nlJe vous laisse gérer ça.\nlAssurez-vous qu'elle ne soit pas redistribuée à quelqu'un."
21,TEXT,"Bien monsieur, ce sera fait."
