en,fr,it,de,es,ko,kana
Buy,Acheter,Compra,Kaufen,Me gustaría comprar algo,사러 왔다,かいに　きた
Sell,Vendre,Vendi,Verkaufen,Me gustaría vender algo,팔러 왔다,うりに　きた
No thanks!,Quitter,Esci,Tschüss!,Solo estoy mirando,아무것도 아닙니다,なんでも　ないです
Welcome to the Poké Mart! May I help you?,Bienvenue à la Boutique Pokémon ! Que puis-je faire pour vous ?,"Benvenut[VAR GENDBR(00FF,0101)]oa al Pokémon-Market! Cosa desideri?",Willkommen im Pokémon-Supermarkt! Womit kann ich dienen?,"¡Bienvenid[VAR GENDBR(00FF,0101)]oa a la Tienda Pokémon! ¿En qué puedo ayudarte?",프렌들리숍에 어서 오세요! 무엇을 도와 드릴까요?,ようこそ　フレンドリィショップへ！ おかいもの　ですね？
Please come again!,Nous espérons vous revoir bientôt !,Torna a trovarci!,Bitte komm bald wieder!,¡Vuelve cuando quieras!,또 오세요!,また　どうぞ！
Is there anything else I may do for you?,Souhaitez-vous autre chose ?,C’è altro che posso fare per te?,"Gibt es noch etwas, womit ich dienen kann?",¿Puedo ayudarte en algo más?,그 밖에 저희가 뭐 도와 드릴 건 없습니까?,その　ほかに　わたしどもで なにか　おちからに　なれることは？
Money,Argent,Soldi,Geld,Dinero,용돈,おこづかい
Poké Miles,Poké Miles,Pokémiglia,Poké-Meilen,PM,포켓마일포인트,PMポイント
Battle Points,Points de Combat,Punti Lotta,Gewinnpunkte,PB,배틀포인트,バトルポイント
"$[VAR NUM7(0000,002C)]","[VAR NUM7(0000,E07F)] $","[VAR NUM7(0000,002E)] $","[VAR NUM7(0000,002E)] $","[VAR NUM7(0000,E07F)] $","[VAR NUM7(0000,0000)]원","[VAR NUM7(0000,0000)]円"
"$[VAR NUM5(0000,002C)]","[VAR NUM5(0000,E07F)] $","[VAR NUM5(0000,002E)] $","[VAR NUM5(0000,002E)] $","[VAR NUM5(0000,E07F)] $","[VAR NUM5(0000,0000)]원","[VAR NUM5(0000,0000)]円"
[~ 11],[~ 11],[~ 11],[~ 11],[~ 11],[~ 11],[~ 11]
——,---,---,---,-,---,－－－
"[VAR NUM7(0000,002C)]","[VAR NUM7(0000,E07F)] PM","[VAR NUM7(0000,002E)]","[VAR NUM7(0000,0020)] PM","[VAR NUM7(0000,E07F)] PM","[VAR NUM7(0000,0000)]P","[VAR NUM7(0000,0000)]P"
"[VAR NUM5(0000,002C)] BP","[VAR NUM5(0000,E07F)] PCo","[VAR NUM5(0000,002E)]","[VAR NUM5(0000,0020)] GP","[VAR NUM5(0000,E07F)] PB","[VAR NUM5(0000,0000)]BP","[VAR NUM5(0000,0000)]BP"
Quit,Quitter,Chiudi,Abbrechen,Cancelar,그만둔다,やめる
[VAR ITEM2(0000)],[VAR ITEM2(0000)],[VAR ITEM2(0000)],[VAR ITEM2(0000)],[VAR ITEM2(0000)],[VAR ITEM2(0000)],[VAR ITEM2(0000)]
In Bag:,Dans le Sac :,Ne hai già:,Du hast:,Llevas:,가지고 있는 개수,もっているかず
[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)]
"","","","","",개,コ
"","","","","",개,コ
×,×,×,x,x,×,×
[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)]
[VAR ITEMPLUR1][VAR ITEM2(0000)]? Certainly. How many would you like?,Combien [VAR ITEMPLUR1][VAR 1408(0000)][VAR ITEM2(0000)] vous faut-il ?,"Quant[VAR ITEMPLUR1][VAR 1102(0000,0101,0101)]oaie [VAR ITEM2(0000)] vuoi?",Wie viele [VAR ITEMPLUR1][VAR ITEM2(0000)] möchtest du kaufen?,"¿Cuánt[VAR GENDBR(0000,0101)]oas [VAR ITEMPLUR1][VAR ITEM2(0000)] quieres?",[VAR ITEM2(0000)][VAR 1900(0002)] 몇 개 구입하시겠습니까?,[VAR ITEM2(0000)]を いくつ　おかいあげに　なりますか？
You don’t have enough money.,Vous n’avez pas assez d’argent.,Non hai abbastanza soldi!,Du hast nicht genügend Geld.,No tienes suficiente dinero.,돈이 부족하시군요!,おかねが　たりないですよ！
"You want [VAR NUM2(0001)] [VAR ITEMPLUR0][VAR ITEM2(0000)]. That will be $[VAR NUM7(0002,002C)]. Is that OK?","Alors, [VAR NUM2(0001)] [VAR ITEM2(0000)]… Cela vous fera [VAR NUM7(0002,E07F)] $ !","Allora, [VAR NUM2(0001)] [VAR ITEM2(0000)]... Fanno [VAR NUM7(0002,002E)] $. Va bene?","[VAR ITEM2(0000)], nicht wahr? [VAR NUM2(0001)] Stück, das macht [VAR NUM7(0002,002E)] $!","A ver... [VAR NUM2(0001)] [VAR ITEM2(0000)]... Serán [VAR NUM7(0002,E07F)] $, ¿de acuerdo?","[VAR ITEM2(0000)] [VAR NUM2(0001)]개로군요 총 [VAR NUM7(0002,0000)]원입니다","[VAR ITEM2(0000)]　ですね [VAR NUM2(0001)]コで　[VAR NUM7(0002,0000)]円に　なりますが？"
"You want [VAR NUM2(0001)] [VAR ITEMPLUR1][VAR ITEM2(0000)]. That will be $[VAR NUM7(0002,002C)]. Is that OK?","Alors, [VAR NUM2(0001)] [VAR ITEM2(0000)]… Cela vous fera [VAR NUM7(0002,E07F)] $ !","Allora, [VAR NUM2(0001)] [VAR ITEM2(0000)]... Fanno [VAR NUM7(0002,002E)] $. Va bene?","[VAR ITEM2(0000)], nicht wahr? [VAR NUM2(0001)] Stück, das macht [VAR NUM7(0002,002E)] $!","A ver... [VAR NUM2(0001)] [VAR ITEM2(0000)]... Serán [VAR NUM7(0002,E07F)] $, ¿de acuerdo?","[VAR ITEM2(0000)] [VAR NUM2(0001)]개로군요 총 [VAR NUM7(0002,0000)]원입니다","[VAR ITEM2(0000)]　ですね [VAR NUM2(0001)]コで　[VAR NUM7(0002,0000)]円に　なりますが？"
Yes,Oui,Sì,Ja,Sí,예,はい
No,Non,No,Nein,No,아니요,いいえ
Here you go. Thank you.,Et voici !,Ecco qua! Grazie mille!,"Hier, bitte sehr! Vielen Dank für deinen Einkauf!",¡Aquí tienes! ¡Gracias!,네 여기 있습니다 대단히 감사합니다,はい　どうぞ まいど　ありがとう　ございます
You put away the [VAR ITEM2(0000)] in the [VAR 0112(0001)] Pocket.,Achat rangé dans la Poche [VAR 0112(0001)].,Trovi tutto nella Tasca [VAR 0112(0001)]!,"[VAR ITEM2(0000)] wurde[VAR NUMBRNCH(0000,0100)]n in der [VAR 0112(0001)]-Tasche verstaut.",Guardas [VAR 1700(0000)][VAR ITEM2(0000)] en el Bolsillo [VAR 0112(0001)].,[VAR ITEM2(0000)][VAR 1900(0002)] [VAR 0112(0001)] 포켓에 넣었다,[VAR ITEM2(0000)]を [VAR 0112(0001)]ポケットに　しまった
You can’t take any more of this item.,Vous n’avez plus de place pour cet objet !,Hai raggiunto il limite per questo oggetto!,Du hast dafür keinen Platz mehr.,No te caben más en la Bolsa.,그 이상은 가지고 다닐 수 없어요!,それ　いじょう もちきれないですよ！
You also get a Premier Ball as an added bonus.,Nous vous offrons une Honor Ball en cadeau.,Ricevi in omaggio anche una Premier Ball!,Du bekommst als Bonus noch einen Premierball dazu.,También consigues una Honor Ball extra.,프레미어볼 1개를 서비스로 드리겠습니다!,プレミアボール　1コ おまけ　しておきますね！
Welcome to the Technical Machine department! May I help you?,Bienvenue au point de vente des Capsules Techniques ! En quoi puis-je vous aider ?,Qui vendiamo Macchine Tecniche! Cosa desideri?,Das ist die TM-Abteilung! Kann ich helfen?,Este es el mostrador de venta de MT. ¿En qué puedo ayudarte?,반갑습니다 기술머신 매장입니다! 무엇을 도와 드릴까요?,わざマシン　うりばへ　ようこそ！ おかいもの　ですね？
You already have it!,Vous possédez déjà cette CT.,Hai già questa MT!,Diese TM hast du doch schon!,¡Ya tienes esa MT!,이미 가지고 있습니다!,すでに　もっています！
"No. [VAR NUM3(0000)], [VAR MOVE(0001)]? That will be $[VAR NUM7(0002,002C)]. OK?","La CT[VAR NUM3(0000)] [VAR MOVE(0001)] ? Cela vous fera [VAR NUM7(0002,E07F)] $.","Allora, vuoi la MT[VAR NUM3(0000)] [VAR MOVE(0001)]? Fanno [VAR NUM7(0002,002E)] $. Va bene?","Die TM[VAR NUM3(0000)] [VAR MOVE(0001)] also? Gut, das kostet dich dann [VAR NUM7(0002,002E)] $.","¿La MT[VAR NUM3(0000)] [VAR MOVE(0001)]? Vale. Te costará [VAR NUM7(0002,E07F)] $. ¿De acuerdo?","No.[VAR NUM3(0000)] “[VAR MOVE(0001)]”[VAR 1900(0001)] [VAR NUM7(0002,0000)]원입니다","No.[VAR NUM3(0000)]「[VAR MOVE(0001)]」は [VAR NUM7(0002,0000)]円に　なりますが？"
You put away [VAR MOVE(0000)] in the [VAR 0112(0001)] Pocket.,La CT [VAR MOVE(0000)] a été rangée dans la Poche [VAR 0112(0001)].,Trovi la MT nella Tasca [VAR 0112(0001)]!,[VAR MOVE(0000)] wurde in der [VAR 0112(0001)]-Tasche verstaut.,Has puesto la MT [VAR MOVE(0000)] en el Bolsillo [VAR 0112(0001)].,[VAR MOVE(0000)][VAR 1900(0002)] [VAR 0112(0001)] 포켓에 넣었다,[VAR MOVE(0000)]を [VAR 0112(0001)]ポケットに　しまった
[~ 37],[~ 37],[~ 37],[~ 37],[~ 37],[~ 37],[~ 37]
[~ 38],[~ 38],[~ 38],[~ 38],[~ 38],[~ 38],[~ 38]
[~ 39],[~ 39],[~ 39],[~ 39],[~ 39],[~ 39],[~ 39]
