en,fr,it,de,es,ko,kana
Name:,Nom :,Nome:,Name:,Nombre:,이름,なまえ
[VAR TRNAME(0000)],[VAR TRNAME(0000)],[VAR TRNAME(0000)],[VAR TRNAME(0000)],[VAR TRNAME(0000)],[VAR TRNAME(0000)],[VAR TRNAME(0000)]
ID No.:,Nº ID :,ID:,ID-Nr.:,N.º ID:,IDNo.,IDNo.
"[VAR NUM5(0000,0000)]","[VAR NUM5(0000,0000)]","[VAR NUM5(0000,0000)]","[VAR NUM5(0000,0000)]","[VAR NUM5(0000,0000)]","[VAR NUM5(0000,0000)]","[VAR NUM5(0000,0000)]"
Hoenn Pokédex:,Pokédex Hoenn :,Pokédex:,Hoenn-Pokédex:,Pokédex Hoenn:,호연도감,ホウエンずかん
[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)]
"","","","","",마리,ひき
Money:,Argent :,Soldi:,Geld:,Dinero:,용돈,おこづかい
"$[VAR NUM7(0000,002C)]","[VAR NUM7(0000,E07F)] $","[VAR NUM7(0000,002E)] $","[VAR NUM7(0000,002E)] $","[VAR NUM7(0000,E07F)] $","[VAR NUM7(0000,0000)]원","[VAR NUM7(0000,0000)]円"
[~ 9],[~ 9],[~ 9],[~ 9],[~ 9],[~ 9],[~ 9]
Play time:,Temps de jeu :,Tempo di gioco:,Spielzeit:,Tiempo jugado:,플레이 시간,プレイじかん
[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)]
:,:,:,:,:,:,:
[VAR NUM2(0001)],[VAR NUM2(0001)],[VAR NUM2(0001)],[VAR NUM2(0001)],[VAR NUM2(0001)],[VAR NUM2(0001)],[VAR NUM2(0001)]
Adventure started on:,Début de l’aventure :,Inizio avventura:,Abenteuer gestartet am:,Comienzo de la aventura:,모험을 시작한 날,ぼうけんをはじめたとき
"[VAR NUM2(0001)]/[VAR NUM2(0002)]/[VAR NUM4(0000,0000)]","[VAR NUM2(0002)]/[VAR NUM2(0001)]/[VAR NUM4(0000,0000)]","[VAR NUM2(0002)]/[VAR NUM2(0001)]/[VAR NUM4(0000,0000)]","[VAR NUM2(0002)].[VAR NUM2(0001)].[VAR NUM4(0000,0000)]","[VAR NUM2(0002)]-[VAR NUM2(0001)]-[VAR NUM4(0000,0000)]","[VAR NUM4(0000,0000)]/[VAR NUM2(0001)]/[VAR NUM2(0002)]","[VAR NUM4(0000,0000)]/[VAR NUM2(0001)]/[VAR NUM2(0002)]"
