en,fr,it,de,es,ko,kana
[~ 0],[~ 0],[~ 0],[~ 0],[~ 0],[~ 0],[~ 0]
You have no room for another Pokémon. Do you still want to try to get a gift?,Plus de place pour un Pokémon ! Souhaitez-vous tout de même recevoir un Cadeau Mystère ?,Non c’è spazio per altri Pokémon. Vuoi provare comunque a ricevere un dono?,Es ist kein Platz für weitere Pokémon. Möchtest du das Geschenk dennoch empfangen?,No tienes espacio para más Pokémon. ¿Deseas recibir el regalo de todos modos?,포켓몬이 가득 찼습니다만 소포를 받겠습니까?,ポケモンが　いっぱいですが おくりものを　うけとりますか？
"Attention! If your battery runs out or you’re disconnected while you’re receiving a gift with a code or password, you may no longer be able to receive the gift using the same code or password. Please check your system’s battery. Please also make sure you have a stable internet connection.","Attention ! Si la batterie de votre console s’épuise ou que la connexion s’interrompt pendant la réception d’un cadeau via un code ou un mot de passe, il est possible que ce cadeau ne puisse plus être réceptionné par la suite via ce code ou ce mot de passe. Veuillez donc vérifier le niveau de charge de votre console ainsi que l’état de votre connexion.","Attenzione! Se la console si spegne o la connessione si interrompe mentre stai ricevendo un dono tramite codice seriale o password, potresti non essere più in grado di utilizzare lo stesso codice seriale o la stessa password per ricevere il dono. Controlla il livello di carica della batteria della console o la connessione per assicurarti che non ci siano problemi.","Achtung! Wird ein Geschenk per Seriencode oder Passwort empfangen und ist vor Abschluss des Vorgangs die Batterieleistung erschöpft oder wird die Verbindung unterbrochen, verlieren eventuell der Seriencode beziehungsweise das Passwort ihre Gültigkeit. Überprüfe daher im Vorfeld stets die Batterieladung deines Systems und stelle sicher, dass eine stabile Internetverbindung vorliegt.","¡Advertencia! Si la consola se apaga o la conexión se interrumpe mientras estás recibiendo un regalo mediante un código o una contraseña, es posible que no puedas volver a utilizar ese código o esa contraseña para recibirlo posteriormente. Comprueba el estado de la batería y la estabilidad de la conexión antes de iniciar el proceso.",주의! 시리얼 코드 혹은 암호로 소포를 받고 있을 때 본체의 전원이 꺼지거나 통신할 수 없게 되면 그 시리얼 코드나 암호로 다시 받을 수 없게 될 수 있습니다 본체 배터리의 잔량과 통신에 문제가 없는지 확인해 주십시오,ごちゅうい！ シリアルコード　または　あいことばで おくりものを　うけとっている　とき ほんたいの　でんげんが　きれたり つうしんが　できなくなると その　シリアルコードや　あいことばは しようできなくなる　ことが　あります ほんたいの　バッテリーの　ざんりょうや つうしんに　もんだいが　ないか ごかくにん　ください
"Attention! If your battery runs out or you’re disconnected while you’re receiving a gift, you may no longer be able to receive the gift. Please check the battery of your Nintendo Switch and Poké Ball Plus. Please also make sure there is no communication issue.","Attention ! Si la batterie de votre console s’épuise ou que la connexion s’interrompt pendant la réception d’un cadeau, il est possible que ce cadeau ne puisse plus être réceptionné par la suite. Veuillez donc vérifier le niveau de charge de votre Nintendo Switch et de votre Poké Ball Plus, ainsi que l’état de votre connexion.","Attenzione! Se il Nintendo Switch o la Poké Ball Plus si spengono o se la connessione si interrompe mentre stai ricevendo un dono, potresti non essere più in grado di riceverlo. Assicurati che la batteria sia abbastanza carica e che la connessione sia stabile.","Achtung! Wird ein Geschenk empfangen und ist vor Abschluss des Vorgangs die Batterieleistung erschöpft oder wird die Verbindung unterbrochen, kann das Geschenk eventuell nicht empfangen werden. Überprüfe daher im Vorfeld stets die Batterieladung deiner Nintendo Switch-Konsole und deines Pokéball Plus und stelle sicher, dass eine stabile Internetverbindung vorliegt.","¡Advertencia! Si la consola Nintendo Switch o el accesorio Poké Ball Plus se apagan, o bien la conexión se interrumpe, tal vez no puedas recibir el regalo en cuestión. Comprueba el estado de la batería y la estabilidad de la conexión antes de iniciar el proceso.",주의! Nintendo Switch 본체나 몬스터볼 Plus의 전원이 꺼지거나 통신할 수 없게 되면 소포를 받을 수 없게 될 수 있습니다 배터리의 잔량과 통신에 문제가 없는지 확인해 주십시오,ごちゅうい！ Nintendo Switchほんたいや モンスターボール Plusの でんげんが　きれたり つうしんが　できなくなると おくりものを　うけとることが できなくなることが　あります バッテリーの　ざんりょうや つうしんに　もんだいが　ないか ごかくにん　ください
"Attention! You failed to enter the correct code or password multiple times, so you can’t try reentering the code for a while. Please try again later.",Attention ! Vous avez saisi un code ou un mot de passe incorrect plusieurs fois de suite. Vous ne pourrez pas retenter pendant un certain temps. Veuillez réessayer ultérieurement.,Attenzione! Hai inserito più volte un codice seriale o una password errati e per un po’ non potrai inserire codici o password. Attendi un po’ prima di riprovare.,"Achtung! Eingabe zurzeit nicht möglich, da der Seriencode beziehungsweise das Passwort wiederholt falsch eingegeben wurde. Bitte versuche es später noch einmal.","¡Advertencia! Has introducido varias veces contraseñas o códigos incorrectos, por lo que no podrás probar de nuevo hasta dentro de un rato. Vuelve a intentarlo más tarde.",주의! 연속해서 시리얼 코드 혹은 암호의 입력에 실패하였으므로 입력할 수 없습니다 어느 정도 시간이 지난 뒤에 다시 시도해 주십시오,ごちゅうい！ シリアルコード　または　あいことばの にゅうりょくに　つづけて しっぱいしたため にゅうりょく　できません しばらく　じかんが　たってから おこしください
"Attention! You failed to enter the correct code or password multiple times, so you can’t receive a gift with a Poké Ball Plus. Please try again later.",Attention ! Vous ne pouvez plus recevoir de cadeau avec votre Poké Ball Plus car vous avez saisi un code ou un mot de passe incorrect plusieurs fois de suite. Veuillez réessayer ultérieurement.,Attenzione! Hai inserito più volte un codice seriale o una password errati. La ricezione di doni dalla Poké Ball Plus è sospesa. Attendi un po’ prima di riprovare.,"Achtung! Empfang des Geschenks via Pokéball Plus zurzeit nicht möglich, da der Seriencode beziehungsweise das Passwort wiederholt falsch eingegeben wurde. Bitte versuche es später noch einmal.","¡Advertencia! Has introducido varias veces contraseñas o códigos incorrectos, por lo que no puedes recibir el regalo con el accesorio Poké Ball Plus. Vuelve a intentarlo más tarde.",주의! 연속해서 시리얼 코드 혹은 암호의 입력에 실패하였으므로 몬스터볼 Plus에서도 받을 수 없습니다 어느 정도 시간이 지난 뒤에 다시 시도해 주십시오,ごちゅうい！ シリアルコード　または　あいことばの にゅうりょくに　つづけて しっぱいしたため モンスターボール Plusでも うけとることが　できません しばらく　じかんが　たってから おこしください
Verifying... Don’t turn off the power.,Vérification en cours... Ne pas éteindre la console.,Controllo in corso. Non spegnere la console.,Deine Eingabe wird überprüft... Bitte das System nicht ausschalten.,Se está realizando la comprobación... No apagues la consola.,확인하고 있습니다 전원을 끄지 않도록 해주십시오...,かくにん　しています でんげんを　きらないでください……
Connecting... Don’t turn off the power.,Connexion en cours... Ne pas éteindre la console.,Collegamento in corso. Non spegnere la console.,Verbindung wird hergestellt... Bitte das System nicht ausschalten.,Conectando... No apagues la consola.,통신하고 있습니다 전원을 끄지 않도록 해주십시오...,つうしん　しています でんげんを　きらないでください……
Do you want to try entering the code or password again?,Voulez-vous saisir à nouveau le code ou mot de passe ?,Vuoi inserire nuovamente il codice seriale o la password?,Seriencode beziehungsweise Passwort erneut eingeben?,¿Quieres introducir de nuevo el código o la contraseña?,다시 한번 시리얼 코드 혹은 암호를 입력하겠습니까?,もういちど　シリアルコード　または あいことばを　いれますか？
Searching for gifts...,Recherche de cadeau en cours...,Ricerca di un dono in corso.,Suche nach Geschenk...,Buscando regalo...,소포를 찾고 있습니다,おくりものを　さがしています
