Index,en,fr
0,TEXT,Bonjour \n[1].
1,TEXT,Je n'avais pas prévu de te voir aussi vite.
2,TEXT,"Viens par ici, je te pris."
3,TEXT,Nous avons entendu parler de toi par le biais de ton blog de journalisme.
4,TEXT,Tu y a déjà révélé certaines informations... Dirons-nous... Intéressantes pour un\E étudiant\E.
5,TEXT,Je n'aime pas ce que je vais te dire mais je suppose que nous n'avons pas le choix.
6,TEXT,"Mr. Helio, je me permets d'intervenir."
7,TEXT,"Ce n'est qu'un\E étudiant\E qui viens tout juste d'être diplomé\E, je ne pense pas que ce soit une bonne idée."
8,TEXT,"C'est possible, mais je ne vois pas comment nous pouvons gérer cette situation par nous-mêmes."
9,TEXT,"\n[1], ce que je vais te dire doit rester un secret absolu."
10,TEXT,"Une fois que cela sera fait, il ne te sera plus possible de revenir en arrière."
11,TEXT,"Cependant, cela pourrait être la meilleure enquête que tu ne puisses jamais trouver pour lancer ta carrière."
12,TEXT,Souaites-tu entendre ce que j'ai à te dire ?
13,TEXT,Je vous écoute.
14,TEXT,Non merci.
15,TEXT,"Tans pis, je comprends. Repasse me voir si tu es toujous intéressé\E."
16,TEXT,Bien. Si je t'ai fais venir ici c'est pour te parler d'un grave problème qui affecte actuellement la Ligue Pokémon.
17,TEXT,Cela fait maintenant plusieurs années que plus personne ne gagne la compétition.
18,TEXT,Le titre de Maître n'a pas changé depuis très longtemps.
19,TEXT,"Pour être clair, je suspecte qu'il y ai des tricheries voir même de la corruption au sein de nos membres hauts placés."
20,TEXT,Et je me retrouve dans l'impasse pour vérifier ces informations.
21,TEXT,"Le seul moyen que je vois afin de tirer cela au clair, serait qu'un\E \f[dresseuse§dresseur] en qui j'ai confiance gravisse les échellons de la compétition."
22,TEXT,Je sais que tu n'es pas un\E \f[dresseuse§dresseur] à l'origine mais un\E étudiant\E en journalisme.
23,TEXT,Mais j'ai besoin de quelqu'un en qui je peux avoir confiance et qui soit complétement à l'extérieur du système.
24,TEXT,"Cela doit surement faire beaucoup à entendre et il faut que tu saches que cela sera peut être même dangereux, même si je ferais tout pour t'aider au mieux."
25,TEXT,"La première étape va être que tu obtiennes une \c[1]\t[12, 921]\c[0] pour participer."
26,TEXT,"Pour qu'il n'y ai aucune suspicion, je ne vais pas pouvoir te la fournir moi-même."
27,TEXT,"Tu vas devoir te rendre à \t[10, 8] à l'ouest d'ici et en demander une au \t[10, 9].\nlC'est la-bas que se réunissent tous les dresseurs pour participer à la compétition."
28,TEXT,"Ah, avant que tu ne partes, voici un cadeau pour toi."
29,TEXT,"C'est un \c[1]\t[14, 1]\c[0]. Tous les dresseurs qui sortent de l'Ecole de Dresseurs en ont un.\nlCela te permets d'obtenir des informations sur tous les Pokémons que tu croiseras ou attraperas."
30,TEXT,Nous discuterons de la suite ensemble plus tard.\nlBonne chance.
31,TEXT,\n[1] !
32,TEXT,"Je t'ai vu sortir du \t[10, 5].\nlJe ne savais pas que tu t'y intéressais."
33,TEXT,"...[WAIT 20]\nl...[WAIT 20]\nlOh, tu comptes participer à la Ligue Pokémon pour une enquête ?\nlCa a l'air excitant !"
34,TEXT,Tu n'es pas sans savoir que c'est aussi mon but.\nlMême si dans mon cas c'est pour bien sûr décrocher le titre de Maître que je suis dans la compétition.
35,TEXT,"Tu sais ce que cela ve dire \n[1], n'est-ce pas ?[WAIT 40]\nlNous allons devoir nous affronter régulièrement !"
36,TEXT,"Même si ce n'est pas pour les mêmes raisons, à compter d'aujourd'hui, nous sommes rivals !"
37,TEXT,"Et en tant que rival, je ferais tout pour te battre lors de la compétition !\nlEn garde !"
38,TEXT,C'était un beau combat.\nlJ'ai encore des progrès à faire si je veux espérer te battre.
39,TEXT,J'ai un cadeau pour toi pour cette victoire.
40,TEXT,Nous serons amené à nous revoir !\nlA la prochaine !
41,,
