en,fr,it,de,es,ko,kana
[VAR PKNICK(0000)] fainted!,[VAR BD06(0000)][VAR PKNICK(0000)] est K.O. !,[VAR BD06(0000)][VAR PKNICK(0000)] non ha più energie!,[VAR PKNICK(0000)] wurde besiegt!,¡[VAR PKNICK(0000)] se ha debilitado!,[VAR PKNICK(0000)][VAR 1900(0001)] 쓰러졌다!,[VAR PKNICK(0000)]は　たおれた！
The wild [VAR PKNICK(0000)] fainted!,"[VAR BD06(0000)][VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] sauvage est K.O. !","[VAR BD06(0000)][VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] selvatico non ha più energie!",[VAR PKNICK(0000)] (wild) wurde besiegt!,¡El [VAR PKNICK(0000)] salvaje se ha debilitado!,야생 [VAR PKNICK(0000)][VAR 1900(0001)] 쓰러졌다!,やせいの　[VAR PKNICK(0000)]は　たおれた！
The opposing [VAR PKNICK(0000)] fainted!,"[VAR BD06(0000)][VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] ennemi est K.O. !","[VAR BD06(0000)][VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] nemico non ha più energie!",[VAR PKNICK(0000)] (Gegner) wurde besiegt!,¡El [VAR PKNICK(0000)] enemigo se ha debilitado!,상대 [VAR PKNICK(0000)][VAR 1900(0001)] 쓰러졌다!,あいての　[VAR PKNICK(0000)]は　たおれた！
[VAR TRNAME(000A)]’s [VAR PKNICK(0000)] fainted!,"[VAR BD06(0000)][VAR 1002][VAR PKNICK(0000)] [VAR 1408(000A,0001)][VAR TRNAME(000A)] est K.O. !","[VAR BD06(0000)][VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] di [VAR TRNAME(000A)] non ha più energie!",[VAR PKNICK(0000)] von [VAR TRNAME(000A)] wurde besiegt!,¡El [VAR PKNICK(0000)] de [VAR TRNAME(000A)] se ha debilitado!,[VAR TRNAME(000A)]의 [VAR PKNICK(0000)][VAR 1900(0001)] 쓰러졌다!,[VAR TRNAME(000A)]の　[VAR PKNICK(0000)]は　たおれた！
[VAR PKNICK(0000)] recovered from fainting!,[VAR BD06(0000)][VAR PKNICK(0000)] n’est plus K.O. !,[VAR BD06(0000)][VAR PKNICK(0000)] torna in forze!,[VAR PKNICK(0000)] hat sich wieder erholt!,¡[VAR PKNICK(0000)] ya no está debilitado!,[VAR PKNICK(0000)][VAR 1900(0001)] 기력을 회복했다!,[VAR PKNICK(0000)]は げんきを　とりもどした！
The wild [VAR PKNICK(0000)] recovered from fainting!,"[VAR BD06(0000)][VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] sauvage n’est plus K.O. !","[VAR BD06(0000)][VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] selvatico torna in forze!",[VAR PKNICK(0000)] (wild) hat sich wieder erholt!,¡El [VAR PKNICK(0000)] salvaje ya no está debilitado!,야생 [VAR PKNICK(0000)][VAR 1900(0001)] 기력을 회복했다!,やせいの　[VAR PKNICK(0000)]は げんきを　とりもどした！
The opposing [VAR PKNICK(0000)] recovered from fainting!,"[VAR BD06(0000)][VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] ennemi n’est plus K.O. !","[VAR BD06(0000)][VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] nemico torna in forze!",[VAR PKNICK(0000)] (Gegner) hat sich wieder erholt!,¡El [VAR PKNICK(0000)] enemigo ya no está debilitado!,상대 [VAR PKNICK(0000)][VAR 1900(0001)] 기력을 회복했다!,あいての　[VAR PKNICK(0000)]は げんきを　とりもどした！
[VAR TRNAME(000A)]’s [VAR PKNICK(0000)] recovered from fainting!,"[VAR BD06(0000)][VAR 1002][VAR PKNICK(0000)] [VAR 1408(000A,0001)][VAR TRNAME(000A)] n’est plus K.O. !","[VAR BD06(0000)][VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] di [VAR TRNAME(000A)] torna in forze!",[VAR PKNICK(0000)] von [VAR TRNAME(000A)] hat sich wieder erholt!,¡El [VAR PKNICK(0000)] de [VAR TRNAME(000A)] ya no está debilitado!,[VAR TRNAME(000A)]의 [VAR PKNICK(0000)][VAR 1900(0001)] 기력을 회복했다!,[VAR TRNAME(000A)]の　[VAR PKNICK(0000)]は げんきを　とりもどした！
It’s super effective on [VAR PKNICK(0000)]!,[VAR BD06(0000)]C’est super efficace sur [VAR PKNICK(0000)] !,[VAR BD06(0000)]È superefficace su [VAR PKNICK(0000)]!,Das ist sehr effektiv gegen [VAR PKNICK(0000)]!,¡Es supereficaz contra [VAR PKNICK(0000)]!,[VAR PKNICK(0000)]에게 효과가 굉장했다!,[VAR PKNICK(0000)]に こうかは　ばつぐんだ！
It’s super effective on the wild [VAR PKNICK(0000)]!,"[VAR BD06(0000)]C’est super efficace sur [VAR 1002][VAR 1400(0000,0001)][VAR PKNICK(0000)] sauvage !","[VAR BD06(0000)]È superefficace [VAR 1002][VAR 1506(0000,0001)][VAR PKNICK(0000)] selvatico!",Das ist sehr effektiv gegen [VAR PKNICK(0000)] (wild)!,¡Es supereficaz contra el [VAR PKNICK(0000)] salvaje!,야생 [VAR PKNICK(0000)]에게 효과가 굉장했다!,やせいの　[VAR PKNICK(0000)]に こうかは　ばつぐんだ！
It’s super effective on the opposing [VAR PKNICK(0000)]!,"[VAR BD06(0000)]C’est super efficace sur [VAR 1002][VAR 1400(0000,0001)][VAR PKNICK(0000)] ennemi !","[VAR BD06(0000)]È superefficace [VAR 1002][VAR 1506(0000,0001)][VAR PKNICK(0000)] nemico!",Das ist sehr effektiv gegen [VAR PKNICK(0000)] (Gegner)!,¡Es supereficaz contra el [VAR PKNICK(0000)] enemigo!,상대 [VAR PKNICK(0000)]에게 효과가 굉장했다!,あいての　[VAR PKNICK(0000)]に こうかは　ばつぐんだ！
It’s super effective on [VAR TRNAME(000A)]’s [VAR PKNICK(0000)]!,"[VAR BD06(0000)]C’est super efficace sur [VAR 1002][VAR PKNICK(0000)] [VAR 1408(000A,0001)][VAR TRNAME(000A)] !","[VAR BD06(0000)]È superefficace [VAR 1002][VAR 1506(0000,0001)][VAR PKNICK(0000)] di [VAR TRNAME(000A)]!",Das ist sehr effektiv gegen [VAR PKNICK(0000)] von [VAR TRNAME(000A)]!,¡Es supereficaz contra el [VAR PKNICK(0000)] de [VAR TRNAME(000A)]!,[VAR TRNAME(000A)]의 [VAR PKNICK(0000)]에게 효과가 굉장했다!,[VAR TRNAME(000A)]の　[VAR PKNICK(0000)]に こうかは　ばつぐんだ！
[VAR BD06(0000)]It’s super effective on [VAR PKNICK(0000)] and [VAR PKNICK(0001)]!,[VAR BD06(0000)]C’est super efficace sur [VAR PKNICK(0000)] et [VAR PKNICK(0001)] !,[VAR BD06(0000)]È superefficace su [VAR PKNICK(0000)] e [VAR PKNICK(0001)]!,Das ist sehr effektiv gegen [VAR PKNICK(0000)] und [VAR PKNICK(0001)]!,¡Es supereficaz contra [VAR PKNICK(0000)] y [VAR PKNICK(0001)]!,[VAR PKNICK(0000)][VAR 1900(0004)] [VAR PKNICK(0001)]에게 효과가 굉장했다!,[VAR PKNICK(0000)]と　[VAR PKNICK(0001)]に こうかは　ばつぐんだ！
[VAR BD06(0000)]It’s super effective on the wild [VAR PKNICK(0000)] and [VAR PKNICK(0001)]!,[VAR BD06(0000)]C’est super efficace sur les [VAR PKNICK(0000)] et [VAR PKNICK(0001)] sauvages !,"[VAR BD06(0000)]È superefficace [VAR 1002][VAR 1506(0000,0001)][VAR PKNICK(0000)] e [VAR 1002][VAR 1506(0001,0001)][VAR PKNICK(0001)] selvatici!",Das ist sehr effektiv gegen [VAR PKNICK(0001)] (wild) und [VAR PKNICK(0000)] (wild)!,¡Es supereficaz contra el [VAR PKNICK(0000)] y el [VAR PKNICK(0001)] salvajes!,야생 [VAR PKNICK(0000)][VAR 1900(0004)] [VAR PKNICK(0001)]에게 효과가 굉장했다!,やせいの　[VAR PKNICK(0000)]と　[VAR PKNICK(0001)]に こうかは　ばつぐんだ！
[VAR BD06(0000)]It’s super effective on the opposing [VAR PKNICK(0000)] and [VAR PKNICK(0001)]!,[VAR BD06(0000)]C’est super efficace sur les [VAR PKNICK(0000)] et [VAR PKNICK(0001)] ennemis !,"[VAR BD06(0000)]È superefficace [VAR 1002][VAR 1506(0000,0001)][VAR PKNICK(0000)] e [VAR 1002][VAR 1506(0001,0001)][VAR PKNICK(0001)] nemici!",Das ist sehr effektiv gegen [VAR PKNICK(0001)] (Gegner) und [VAR PKNICK(0000)] (Gegner)!,[VAR BD06(0000)]¡Es supereficaz contra el [VAR PKNICK(0000)] y el [VAR PKNICK(0001)] enemigos!,상대 [VAR PKNICK(0000)][VAR 1900(0004)] [VAR PKNICK(0001)]에게 효과가 굉장했다!,あいての　[VAR PKNICK(0000)]と　[VAR PKNICK(0001)]に こうかは　ばつぐんだ！
