Index,en,fr
0,TEXT,"\t[10, 8] est connu pour son \t[10, 9] qui attire de nombreux dresseurs en recherche de combats amicaux.\nlTu pourras surement en trouver quelques-uns sur les terrains d'entrainement à l'ouest de la ville."
1,TEXT,"J'adore cette plage, en plus l'eau est super bonne aujourd'hui !"
2,TEXT,"Tu viens de \t[10, 2] ?\nlJ'aimerais bien aller visiter cet endroit mais j'ai le mal de mer."
3,TEXT,"Le \t[10, 9] est l'endroit le plus prestigieux de la région!\nlJe suis fier être l'un de ses membres les plus importants !"
4,TEXT,"J'ai fais un long trajet depuis le nord pour m'inscrire au \t[10, 9]. Ils sont apparement très sélectifs, j'espère que je vais pouvoir y entrer sans trop de difficultés."
5,TEXT,"Utilises un \c[1]\t[12, 22]\c[0] lorsque ton Pokémon est paralysé. Cela lui permettra de se sentir mieux et d'éviter qu'ils ratent ses prochaines attaques."
6,TEXT,"Arêne de \t[10, 8]"
7,TEXT,"Il y a quelques années, mon mari qui est pécheur à pris la mer.[WAIT 30]\nlIl n'est jamais revenu... Depuis, je l'attends ici en espérant le revoir.[WAIT 30]\nlJe ne me fais plus trop d'idées, mais j'aimerais savoir ce qui lui est arrivé...\nlMalheuresement je suis trop agée pour voyager...\nlPeut-être pourrais-tu m'aider à retrouver ce qui a pu lui arriver..."
8,TEXT,"Si tu apprends quelque chose sur mon mari, reviens me voir."
9,TEXT,"En tant que membre du \t[10, 9], j'entraine mon \t[0, 5] tous les jours !\nlIl va bientôt évoluer, je le sens !\nlAllez \t[0,5]!"
10,TEXT,"Courage \t[0, 32] ! Tu peux le battre !"
11,TEXT,"Désolé, je suis en plein combat !"
12,TEXT,"Je m'entraine dûr avec mon \t[0, 214].\nlComme ça quand je serais grand, je ferais partie du \t[10, 9] !"
13,TEXT,J'aime bien aider les petits jeunes comme toi qui se lance à l'aventure !
14,TEXT,"Le \c[1]\t[12, 220]\c[0] augmentant drastiquement l'attaque du Pokémon qui le tient. En revanche, tant qu'il restera au combat, il ne pourra plus utiliser qu'une seule attaque."
15,TEXT,"Je fais une petite pause dans mon entrainement, il fait chaud aujourd'hui."
16,TEXT,"Tu es à la recherche d'une \c[1]\t[12, 921]\c[0], c'est ça ?\nlEn tant que membre du \t[10, 9], j'en possède une mais je compte bien m'en servir cette année !\nlQue dirais-tu d'un combat ?\nlPeut être que cela me fera changer d'avis ?"
17,TEXT,C'était un beau combat !\nlCela a permis d'entrainer mes Pokémon !\nlJe pense que je vais quand même tenter la Ligue Pokémon cette année.
18,TEXT,"Je viens de gagner mon combat !\nlJe suis prête pour la Ligue Pokémon, j'en suis sûr !\nlAffrontons-nous en amical, je suis sûr de gagner !"
19,TEXT,"Tu es fort\E, mais je n'ai pas dit mon dernier mot !\nlJe vais m'entrainer encore pour participer à la Ligue Pokémon !"
20,TEXT,"J'ai encore perdu...\nlMon père m'a donné une \c[1]\t[12, 921]\c[0] et m'a dit que ce ne serait pas compliqué...\nlJe trouve les combats de Pokémon vraiment difficiles...[WAIT 60]Tu veux te procurer une \c[1]\t[12, 921]\c[0] ?\nlTrès bien, si tu me bats je veux bien te laisser la mienne."
21,TEXT,Tu veux nous affronter en combat ?
22,TEXT,"Bravo, c'était un beau combat.\nlCela m'a montré que je n'étais pas prête pour la Ligue Pokémon...\nlTiens, tu peux prendre mon \c[1]\t[12, 921]\c[0]..."
23,TEXT,"Tout le monde ne parle que du \t[10, 9] dans cette ville, alors il ne s'agit que d'un groupe de privilégiés..."
24,TEXT,":[name=Walter, Champion de \t[10, 8]]:Superbe combat !"
25,TEXT,"Oh mais c'est Walter, le champion de l'arène de \t[10, 8].\nlQu'est ce que vous faites ici ?"
26,TEXT,":[name=Walter, Champion de \t[10, 8]]:J'observe les combats de Pokémon de mes futurs adversaires. Tu me semble prêt pour la Ligue Pokémon !"
27,TEXT,"Ah... Je n'en suis pas sûr... Je viens de perdre pourtant, je comptais donner mon \c[1]\t[12, 921]\c[0] à \f[cette dresseuse§ce dresseur]."
28,TEXT,":[name=Walter, Champion de \t[10, 8]]:Allons, une \c[1]\t[12, 921]\c[0] ne se donne pas comme ça à n'importe qui.\nl\f[Cette dresseuse§Ce dresseur] ne fait meme pas partie du \t[10, 9].\nlQue va penser ton père de tout ça ?"
29,TEXT,Mais je vois bien que je ne suis pas prêt pour la Ligue Pokémon pourtant...\nl\f[Cette dresseuse§Ce dresseur] en aura plus l'utilisé que moi je pense.
30,TEXT,":[name=Walter, Champion de \t[10, 8]]:Si tu ne veux plus de ton \c[1]\t[12, 921]\c[0], je vais m'occuper de la remettre au \t[10, 9].\nlTu pourras retenter la Ligue Pokémon l'année prochaine quand tu seras prêt."
31,TEXT,"Désolé, j'espère que tu pourras trouver une \c[1]\t[12, 921]\c[0] rapidement..."
