en,fr,it,de,es,ko,kana
"[VAR TRNAME(0000)] obtained [VAR iCOLOR2(0001)] [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]!","[VAR TRNAME(0000)] reçoit [VAR 1402(0001)][VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01] !","[VAR TRNAME(0000)] ottiene [VAR 1502(0001)][VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]!","[VAR TRNAME(0000)] erhält [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]!","[VAR TRNAME(0000)] ha obtenido [VAR 1702(0001)][VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01].","[VAR TRNAME(0000)][VAR 1900(0001)] [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01][VAR 1900(0002)] 손에 넣었다!","[VAR TRNAME(0000)]は [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]を　てにいれた！"
"[VAR TRNAME(0000)] obtained the [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]!","[VAR TRNAME(0000)] obtient [VAR 1402(0001)][VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01] !","[VAR TRNAME(0000)] ottiene [VAR 1500(0001)][VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]!","[VAR TRNAME(0000)] erhält [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]!","[VAR TRNAME(0000)] ha obtenido [VAR 1702(0001)][VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01].","[VAR TRNAME(0000)][VAR 1900(0001)] [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01][VAR 1900(0002)] 손에 넣었다!","[VAR TRNAME(0000)]は [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]を　てにいれた！"
"[VAR TRNAME(0000)] obtained [VAR iCOLOR2(0001)] [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]!","[VAR TRNAME(0000)] reçoit [VAR 1402(0001)][VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01] !","[VAR TRNAME(0000)] ottiene [VAR 1502(0001)][VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]!","[VAR TRNAME(0000)] erhält [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]!","[VAR TRNAME(0000)] ha obtenido [VAR 1702(0001)][VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01].","[VAR TRNAME(0000)][VAR 1900(0001)] [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01][VAR 1900(0002)] 손에 넣었다!","[VAR TRNAME(0000)]は [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]を　てにいれた！"
"[VAR TRNAME(0000)] obtained [VAR ITEM2(0001)] [VAR BD00(0007,0000,0000)][VAR MOVE(0002)][VAR BD01]!","[VAR TRNAME(0000)] reçoit la [VAR ITEM2(0001)] [VAR BD00(0007,0000,0000)][VAR MOVE(0002)][VAR BD01] !","[VAR TRNAME(0000)] ottiene la [VAR ITEM2(0001)] che contiene [VAR BD00(0007,0000,0000)][VAR MOVE(0002)][VAR BD01]!","[VAR TRNAME(0000)] erhält das Item [VAR ITEM2(0001)] [VAR BD00(0007,0000,0000)][VAR MOVE(0002)][VAR BD01]!","[VAR TRNAME(0000)] ha obtenido la [VAR ITEM2(0001)] [VAR BD00(0007,0000,0000)][VAR MOVE(0002)][VAR BD01].","[VAR TRNAME(0000)][VAR 1900(0001)] [VAR ITEM2(0001)] “[VAR BD00(0007,0000,0000)][VAR MOVE(0002)][VAR BD01]”[VAR 1900(0002)] 손에 넣었다!","[VAR TRNAME(0000)]は　[VAR ITEM2(0001)] 「[VAR BD00(0007,0000,0000)][VAR MOVE(0002)][VAR BD01]」を　てにいれた！"
"[VAR TRNAME(0000)] found [VAR iCOLOR2(0001)][VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]!","[VAR TRNAME(0000)] trouve [VAR 1402(0001)][VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01] !","[VAR TRNAME(0000)] trova [VAR 1500(0001)][VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]!","[VAR TRNAME(0000)] findet das Item [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]!","¡[VAR TRNAME(0000)] ha encontrado [VAR 1702(0001)][VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]!","[VAR TRNAME(0000)][VAR 1900(0001)] [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01][VAR 1900(0002)] 발견했다!","[VAR TRNAME(0000)]は [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]を　みつけた！"
"[VAR TRNAME(0000)] found [VAR iCOLOR2(0001)][VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]!","[VAR TRNAME(0000)] trouve [VAR 1402(0001)][VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01] !","[VAR TRNAME(0000)] trova [VAR 1502(0001)][VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]!","[VAR TRNAME(0000)] findet das Item [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]!","¡[VAR TRNAME(0000)] ha encontrado [VAR 1702(0001)][VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]!","[VAR TRNAME(0000)][VAR 1900(0001)] [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01][VAR 1900(0002)] 발견했다!","[VAR TRNAME(0000)]は [VAR BD00(0007,0000,0000)][VAR ITEM2(0001)][VAR BD01]を　みつけた！"
"[VAR TRNAME(0000)] found [VAR ITEM2(0001)] [VAR BD00(0007,0000,0000)][VAR MOVE(0002)][VAR BD01]!","[VAR TRNAME(0000)] trouve la [VAR ITEM2(0001)] [VAR BD00(0007,0000,0000)][VAR MOVE(0002)][VAR BD01] !","[VAR TRNAME(0000)] trova la [VAR ITEM2(0001)] che contiene [VAR BD00(0007,0000,0000)][VAR MOVE(0002)][VAR BD01]!","[VAR TRNAME(0000)] findet das Item [VAR ITEM2(0001)] [VAR BD00(0007,0000,0000)][VAR MOVE(0002)][VAR BD01]!","¡[VAR TRNAME(0000)] ha encontrado la [VAR ITEM2(0001)] [VAR BD00(0007,0000,0000)][VAR MOVE(0002)][VAR BD01]!","[VAR TRNAME(0000)][VAR 1900(0001)] [VAR ITEM2(0001)] “[VAR BD00(0007,0000,0000)][VAR MOVE(0002)][VAR BD01]”[VAR 1900(0002)] 발견했다!","[VAR TRNAME(0000)]は　[VAR ITEM2(0001)] 「[VAR BD00(0007,0000,0000)][VAR MOVE(0002)][VAR BD01]」を　みつけた！"
Too bad! There is no more room for [VAR ITEMPLUR1][VAR ITEM2(0000)] in your Bag!,Quel dommage ! Vous n’avez plus de place pour [VAR 1400(0000)][VAR ITEM2(0000)] !,Peccato! Non c’è più spazio per [VAR 1500(0000)][VAR ITEM2(0000)]!,Schade! Für [VAR ITEM2(0000)] ist kein Platz mehr!,¡Qué pena! No te queda espacio para guardar [VAR 1700(0000)][VAR ITEM2(0000)].,아쉽다! [VAR ITEM2(0000)][VAR 1900(0001)] 가득 차서 더 이상 지닐 수 없다!,ざんねん！　[VAR ITEM2(0000)]は いっぱいで　これいじょう　もてない！
Obtained [VAR iCOLOR2(0000)][VAR ITEM2(0000)]! But...too bad! Your Bag is already full!,"Vous avez trouvé [VAR 1402(0000)][VAR ITEM2(0000)], mais il n’y a plus de place dans le Sac !",Ottieni [VAR 1502(0000)][VAR ITEM2(0000)]! Ma non c’è più spazio nella Borsa... che peccato!,"Du erhältst das Item [VAR ITEM2(0000)]! Oh, schade... Dafür ist leider kein Platz mehr!","¡Has obtenido [VAR 1702(0000)][VAR ITEM2(0000)]! Es una pena, pero la Bolsa está llena.",[VAR ITEM2(0000)][VAR 1900(0002)] 손에 넣었다! 아쉽다! 가방이 가득 차 있다...,[VAR ITEM2(0000)]を　てにいれた！ ざんねん！ バッグが　いっぱいだ……
"[VAR TRNAME(0000)] put the [VAR ITEM2(0001)] in the [VAR BD00(0007,0000,0000)][VAR 0112(0002)] Pocket[VAR BD01].","[VAR TRNAME(0000)] a mis [VAR 1400(0001)][VAR ITEM2(0001)] dans la [VAR BD00(0007,0000,0000)]Poche [VAR 0112(0002)][VAR BD01].","[VAR TRNAME(0000)] mette [VAR 1500(0001)][VAR ITEM2(0001)] nella [VAR BD00(0007,0000,0000)]Tasca [VAR 0112(0002)][VAR BD01].","[VAR ITEM2(0001)] wurde[VAR NUMBRNCH(0001,0100)]n in der [VAR BD00(0007,0000,0000)][VAR 0112(0002)]-Tasche[VAR BD01] verstaut.","[VAR TRNAME(0000)] mete [VAR 1700(0001)][VAR ITEM2(0001)] en el [VAR BD00(0007,0000,0000)]Bolsillo [VAR 0112(0002)][VAR BD01].","[VAR TRNAME(0000)][VAR 1900(0001)] [VAR ITEM2(0001)][VAR 1900(0002)] “[VAR BD00(0007,0000,0000)][VAR 0112(0002)]포켓[VAR BD01]”에 넣었다","[VAR TRNAME(0000)]は　[VAR ITEM2(0001)]を 「[VAR BD00(0007,0000,0000)][VAR 0112(0002)]ポケット[VAR BD01]」に　しまった"
