en,fr,it,de,es,ko,kana
-,-,-,-,—,- -,― ―
"By releasing stench when attacking, this Pokémon may cause the target to flinch.",Le Pokémon émet une odeur si nauséabonde qu’il peut effrayer sa cible.,A volte il cattivo odore emesso dal Pokémon fa tentennare i nemici quando attacca.,Lässt das Ziel beim Angriff eventuell durch Gestank zurückschrecken.,Puede amedrentar al rival al atacarlo debido al mal olor que emana.,악취를 풍겨서 공격했을 때 상대가 풀죽을 때가 있다.,くさい　においを　はなつことによって こうげきした　ときに　あいてを ひるませることが　ある。
The Pokémon makes it rain when it enters a battle.,Le Pokémon invoque la pluie quand il entre au combat.,"Quando il Pokémon entra in campo, attira la pioggia.",Ruft bei Kampfantritt Regen herbei.,Hace que llueva al entrar en combate.,등장했을 때 날씨를 비로 만든다.,とうじょう　したときに てんきを　あめに　する。
Its Speed stat is boosted every turn.,La Vitesse du Pokémon augmente à chaque tour.,La Velocità aumenta a ogni turno.,Erhöht in jeder Runde die Initiative.,Aumenta su Velocidad en cada turno.,매 턴 스피드가 올라간다.,まいターン　すばやさが　あがる。
Hard armor protects the Pokémon from critical hits.,Le Pokémon est protégé des coups critiques par une solide carapace.,Il Pokémon è protetto da una dura corazza che gli evita di subire brutti colpi.,Wehrt gegnerische Volltreffer mit einem harten Panzer ab.,La robusta coraza que lo protege bloquea los golpes críticos.,단단한 껍질에 보호받아 상대의 공격이 급소에 맞지 않는다.,かたい　こうらに　まもられて あいての　こうげきが きゅうしょに　あたらない。
"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Le Pokémon encaisse toujours au moins une attaque s’il a tous ses PV. Il est également immunisé contre les capacités pouvant mettre K.O. en un coup.,"Evita che il Pokémon vada KO in un sol colpo se ha tutti i PS, e lo rende immune alle mosse che causano KO immediato.",Bietet Schutz gegen K.O.-Attacken. Bei vollen KP übersteht das Pokémon auch K.O.-Treffer.,Evita que el rival pueda debilitarlo de un solo golpe cuando tiene los PS al máximo. También evita los movimientos fulminantes.,상대 기술을 받아도 일격으로 쓰러지지 않는다. 일격필살 기술도 효과 없다.,あいての　わざを　うけても いちげきで　たおされることが　ない。 いちげきひっさつわざも　きかない。
"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.","Le Pokémon augmente l’humidité de l’air, ce qui empêche tous les Pokémon d’utiliser des capacités explosives telles que Destruction.","Aumenta l’umidità circostante, impedendo l’uso di Autodistruzione e di altre mosse esplosive.","Befeuchtet die Umgebung und verhindert so den Einsatz von Attacken wie Finale, die Explosionen auslösen.","Aumenta la humedad del entorno y evita que se puedan utilizar movimientos explosivos, tales como Autodestrucción.",주변을 습하게 함으로써 자폭 등 폭발하는 기술을 아무도 못 쓰게 한다.,あたりを　しめらせることに　よって じばく　などの　ばくはつする　わざを だれも　つかえなくなる。
Its limber body protects the Pokémon from paralysis.,"Le Pokémon s’est suffisamment échauffé, ce qui l’immunise contre la paralysie.",Il corpo flessibile del Pokémon gli impedisce di subire gli effetti della paralisi.,Der flexible Körper des Pokémon schützt es vor Paralyse.,Evita ser paralizado gracias a la flexibilidad de su cuerpo.,유연한 몸으로 인해 마비 상태가 되지 않는다.,じゅうなんな　からだによって まひ　じょうたいに　ならない。
Boosts the Pokémon’s evasiveness in a sandstorm.,Augmente l’Esquive du Pokémon lors des tempêtes de sable.,L’elusione aumenta durante le tempeste di sabbia.,Erhöht in Sandstürmen den Ausweichwert.,Aumenta su Evasión durante las tormentas de arena.,모래바람일 때 회피율이 올라간다.,すなあらしの　とき かいひりつが　あがる。
"The Pokémon is charged with static electricity, so contact with it may cause paralysis.","Le Pokémon charge son corps en électricité statique, et tout contact avec lui peut paralyser.",Il contatto fisico con il corpo percorso dall’elettricità statica del Pokémon può causare paralisi.,Kann bei Berührung durch statisch aufgeladenen Körper paralysieren.,La electricidad estática que lo envuelve puede paralizar al mínimo contacto.,정전기를 몸에 둘러 접촉한 상대를 마비시킬 때가 있다.,せいでんきを　からだに　まとい さわった　あいてを まひさせる　ことがある。
Restores HP if hit by an Electric-type move instead of taking damage.,"Si le Pokémon est touché par une capacité Électrik, il ne subit aucun dégât et regagne des PV à la place.","Se il Pokémon viene colpito da una mossa di tipo Elettro, recupera PS anziché subire danni.","Treffer durch Elektro-Attacken verursachen keinen Schaden, sondern regenerieren stattdessen KP.","Si le alcanza un movimiento de tipo Eléctrico, recupera PS en vez de sufrir daño.",전기타입의 기술을 받으면 데미지를 받지 않고 회복한다.,でんきタイプの　わざを　うけると ダメージを　うけずに　かいふくする。
