en,fr,it,de,es,ko,kana
????? Pokémon,Pokémon ?????,Pokémon ?????,???,Pokémon (?),?????포켓몬,？？？？？ポケモン
Seed Pokémon,Pokémon Graine,Pokémon Seme,Samen-Pokémon,Pokémon Semilla,씨앗포켓몬,たねポケモン
Seed Pokémon,Pokémon Graine,Pokémon Seme,Samen-Pokémon,Pokémon Semilla,씨앗포켓몬,たねポケモン
Seed Pokémon,Pokémon Graine,Pokémon Seme,Samen-Pokémon,Pokémon Semilla,씨앗포켓몬,たねポケモン
Lizard Pokémon,Pokémon Lézard,Pokémon Lucertola,Echsen-Pokémon,Pokémon Lagartija,도롱뇽포켓몬,とかげポケモン
Flame Pokémon,Pokémon Flamme,Pokémon Fiamma,Flammen-Pokémon,Pokémon Llama,화염포켓몬,かえんポケモン
Flame Pokémon,Pokémon Flamme,Pokémon Fiamma,Flammen-Pokémon,Pokémon Llama,화염포켓몬,かえんポケモン
Tiny Turtle Pokémon,Pokémon Minitortue,Pokémon Tartaghina,Minikröten-Pokémon,Pokémon Tortuguita,꼬마거북포켓몬,かめのこポケモン
Turtle Pokémon,Pokémon Tortue,Pokémon Tartaruga,Kröten-Pokémon,Pokémon Tortuga,거북포켓몬,かめポケモン
Shellfish Pokémon,Pokémon Carapace,Pokémon Crostaceo,Panzertier-Pokémon,Pokémon Armazón,껍질포켓몬,こうらポケモン
Worm Pokémon,Pokémon Ver,Pokémon Baco,Wurm-Pokémon,Pokémon Gusano,애벌레포켓몬,いもむしポケモン
Cocoon Pokémon,Pokémon Cocon,Pokémon Bozzolo,Kokon-Pokémon,Pokémon Capullo,번데기포켓몬,さなぎポケモン
Butterfly Pokémon,Pokémon Papillon,Pokémon Farfalla,Falter-Pokémon,Pokémon Mariposa,나비포켓몬,ちょうちょポケモン
Hairy Bug Pokémon,Pokémon Insectopic,Pokémon Millepiedi,Raupen-Pokémon,Pokémon Oruga,송충이포켓몬,けむしポケモン
Cocoon Pokémon,Pokémon Cocon,Pokémon Bozzolo,Kokon-Pokémon,Pokémon Capullo,번데기포켓몬,さなぎポケモン
Poison Bee Pokémon,Pokémon Guêpoison,Pokémon Velenape,Giftbienen-Pokémon,Pokémon Abeja Veneno,독벌포켓몬,どくばちポケモン
Tiny Bird Pokémon,Pokémon Minoiseau,Pokémon Uccellino,Kleinvogel-Pokémon,Pokémon Pajarito,아기새포켓몬,ことりポケモン
Bird Pokémon,Pokémon Oiseau,Pokémon Uccello,Vogel-Pokémon,Pokémon Pájaro,새포켓몬,とりポケモン
Bird Pokémon,Pokémon Oiseau,Pokémon Uccello,Vogel-Pokémon,Pokémon Pájaro,새포켓몬,とりポケモン
Mouse Pokémon,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón,쥐포켓몬,ねずみポケモン
Mouse Pokémon,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón,쥐포켓몬,ねずみポケモン
Tiny Bird Pokémon,Pokémon Minoiseau,Pokémon Uccellino,Kleinvogel-Pokémon,Pokémon Pajarito,아기새포켓몬,ことりポケモン
Beak Pokémon,Pokémon Bec-Oiseau,Pokémon Becco,Pickvogel-Pokémon,Pokémon Pico,부리포켓몬,くちばしポケモン
Snake Pokémon,Pokémon Serpent,Pokémon Serpente,Schlangen-Pokémon,Pokémon Serpiente,뱀포켓몬,へびポケモン
Cobra Pokémon,Pokémon Cobra,Pokémon Cobra,Kobra-Pokémon,Pokémon Cobra,코브라포켓몬,コブラポケモン
Mouse Pokémon,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón,쥐포켓몬,ねずみポケモン
Mouse Pokémon,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón,쥐포켓몬,ねずみポケモン
Mouse Pokémon,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón,쥐포켓몬,ねずみポケモン
