en,fr,it,de,es,ko,kana
What is your name?,Quel est votre nom ?,Scrivi il tuo nome.,Wie heißt du?,¿Cómo te llamas?,당신의 이름은?,あなたの　なまえは？
Your name is [VAR 0189(0000)]?,Votre nom est [VAR 0189(0000)]. Voulez-vous le valider ?,Ti chiami [VAR 0189(0000)]?,Dein Name lautet also [VAR 0189(0000)]?,¿Te llamas [VAR 0189(0000)]?,[VAR 0189(0000)] 이 이름으로 하겠습니까?,[VAR 0189(0000)] この　なまえで　よろしいですか？
You can’t enter that name.,Vous ne pouvez pas utiliser ce nom.,Non puoi usare questo nome.,Diesen Namen kannst du nicht verwenden.,Ese nombre no está permitido.,그 이름은 사용할 수 없습니다,その　なまえは　つかえません
You can’t use [VAR 012E(0000)].,Vous ne pouvez pas utiliser le mot « [VAR 012E(0000)] ».,Non puoi usare “[VAR 012E(0000)]”.,„[VAR 012E(0000)]“ ist nicht zulässig.,"No está permitido usar ""[VAR 012E(0000)]"".",“[VAR 012E(0000)]”[VAR 1900(0001)] 사용할 수 없습니다,「[VAR 012E(0000)]」は つかえません
Please enter a name.,Veuillez saisir un nom.,Inserisci il nome.,Bitte gib einen Namen ein.,Introduce un nombre.,이름을 입력해 주십시오,なまえを　いれてください
What is [VAR PKNAME(0000)]’s nickname?,Quel surnom donner à [VAR PKNAME(0000)] ?,Che soprannome vuoi dare a [VAR PKNAME(0000)]?,Wie soll [VAR PKNAME(0000)] heißen?,¿Qué mote le quieres poner a [VAR PKNAME(0000)]?,[VAR PKNAME(0000)]의 닉네임은?,[VAR PKNAME(0000)]の　なまえは？
What is [VAR PKNAME(0000)] (♂)’s nickname?,"Quel surnom donner [VAR 1404(0000,0001)][VAR PKNAME(0000)] mâle ?",Che soprannome vuoi dare a [VAR PKNAME(0000)] (♂)?,Wie soll [VAR PKNAME(0000)] (♂) heißen?,¿Qué mote le quieres poner a [VAR PKNAME(0000)] (♂)?,[VAR PKNAME(0000)](♂)의 이름은?,[VAR PKNAME(0000)]（♂）の　なまえは？
What is [VAR PKNAME(0000)] (♀)’s nickname?,"Quel surnom donner [VAR 1404(0000,0001)][VAR PKNAME(0000)] femelle ?",Che soprannome vuoi dare a [VAR PKNAME(0000)] (♀)?,Wie soll [VAR PKNAME(0000)] (♀) heißen?,¿Qué mote le quieres poner a [VAR PKNAME(0000)] (♀)?,[VAR PKNAME(0000)](♀)의 이름은?,[VAR PKNAME(0000)]（♀）の　なまえは？
[VAR PKNAME(0000)],[VAR PKNAME(0000)],[VAR PKNAME(0000)],[VAR PKNAME(0000)],[VAR PKNAME(0000)],[VAR PKNAME(0000)],[VAR PKNAME(0000)]
Are you OK with the nickname [VAR PKNAME(0000)]?,Son surnom sera [VAR PKNAME(0000)]. Voulez-vous le valider ?,Vuoi chiamarlo [VAR PKNAME(0000)]?,Sein Name soll also [VAR PKNAME(0000)] lauten?,¿Seguro que quieres ponerle [VAR PKNAME(0000)]?,[VAR PKNAME(0000)] 이 이름으로 하겠습니까?,[VAR PKNAME(0000)] この　なまえで　よろしいですか？
What would you like to name this Box?,Quel nom voulez-vous donner à la Boîte ?,Che nome vuoi dare al Box?,Wie soll die Box heißen?,¿Qué nombre le quieres poner a la caja?,박스의 이름은?,ボックスの　なまえは？
[VAR 01C0(0000)],[VAR 01C0(0000)],[VAR 01C0(0000)],[VAR 01C0(0000)],[VAR 01C0(0000)],[VAR 01C0(0000)],[VAR 01C0(0000)]
What would you like to name this Battle Team?,Quel nom voulez-vous donner à l’Équipe Combat ?,Scegli un nome per la tua Squadra Lotta.,Wie soll dein Kampfteam heißen?,¿Qué nombre le quieres poner a tu Equipo de Combate?,배틀팀의 이름은?,バトルチームの　なまえは？
[VAR 01BF(0000)],[VAR 01BF(0000)],[VAR 01BF(0000)],[VAR 01BF(0000)],[VAR 01BF(0000)],[VAR 01BF(0000)],[VAR 01BF(0000)]
Are you OK with the name [VAR 01BF(0000)]?,Son nom sera [VAR 01BF(0000)]. Voulez-vous le valider ?,Vuoi chiamarla [VAR 01BF(0000)]?,Der Name des Teams soll also [VAR 01BF(0000)] lauten?,¿Seguro que quieres llamarlo [VAR 01BF(0000)]?,[VAR 01BF(0000)] 이 이름으로 하겠습니까?,[VAR 01BF(0000)] この　なまえで　よろしいですか？
Please enter your code or password.,Veuillez saisir le code ou le mot de passe.,Inserisci il codice seriale o la password.,Bitte gib einen Seriencode oder ein Passwort ein.,Introduce el código o la contraseña.,시리얼 코드/암호를 입력해 주십시오,シリアルコード／あいことばを　いれてください
The code you entered does not exist.,Le code que vous avez saisi n’existe pas.,Il codice seriale inserito è inesistente.,"Der Seriencode, den du eingegeben hast, existiert nicht.",El código introducido no existe.,입력한 시리얼 코드는 존재하지 않습니다,にゅうりょくされた　シリアルコードは そんざいしません
Please enter a password.,Veuillez saisir un mot de passe.,Inserisci la password.,Bitte gib ein Passwort ein.,Introduce una contraseña.,암호를 입력해 주십시오,あいことばを　にゅうりょく　してください
Please enter your uniform number.,Veuillez saisir votre numéro de dossard.,Inserisci il numero della tua maglia.,Bitte gib deine gewünschte Trikotnummer ein.,Introduce el número de tu dorsal.,등번호를 입력해 주십시오,せばんごうを　いれてください
Are you OK with the number [VAR 01C4(0000)]?,Votre numéro de dossard sera [VAR 01C4(0000)]. Voulez-vous le valider ?,Hai inserito [VAR 01C4(0000)]. Confermi?,Es soll also die Nummer [VAR 01C4(0000)] sein?,¿Seguro que quieres el dorsal número [VAR 01C4(0000)]?,[VAR 01C4(0000)] 이 번호로 하겠습니까?,[VAR 01C4(0000)] この　ばんごうで　よろしいですか？
You can’t use this number.,Vous ne pouvez pas utiliser ce numéro.,Non puoi usare questo numero.,Diese Nummer kannst du nicht verwenden.,Ese número no está permitido.,그 번호는 사용할 수 없습니다,その　ばんごうは　つかえません
Please enter your birth month.,Quel est votre mois de naissance ?,Inserisci il mese.,In welchem Monat liegt dein Geburtstag?,Introduce tu mes de nacimiento.,당신이 태어난 달은?,あなたの　うまれた　つきは？
Please enter your birth date.,Quel est votre jour de naissance ?,Inserisci il giorno.,An welchem Tag hast du Geburtstag?,Introduce tu día de nacimiento.,당신이 태어난 날은?,あなたの　うまれた　ひは？
"For example, if your birthday is January 2, enter 01 and 02.","Par exemple, si vous êtes né le 2 janvier, veuillez saisir 02 et 01.","Ad esempio, per il 2 gennaio scrivi 02/01.",Für den 02. Januar gibst du zum Beispiel „01“ und „02“ ein.,"Por ejemplo, si naciste el 2 de enero, introduce 02 y 01.",1월 2일인 경우 01 02로 입력합니다,１がつ　２にちの　ばあいは　01　02　です
