en,fr,it,de,es,ko,kana
Gym Badges:,Badges :,Medaglie:,Orden:,Medallas:,배지,バッジ
"","","","","",개,こ
[VAR NUM1(0000)],[VAR NUM1(0000)],[VAR NUM1(0000)],[VAR NUM1(0000)],[VAR NUM1(0000)],[VAR NUM1(0000)],[VAR NUM1(0000)]
Pokédex:,Pokédex :,Pokédex:,Pokédex:,Pokédex:,도감,ずかん
"","","","","",마리,ひき
[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)]
Time:,Temps de jeu :,Tempo di gioco:,Spielzeit:,Tiempo jugado:,플레이 시간,プレイじかん
[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)]
[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)]
Last saved on,Dernière sauvegarde ,Ultimo salvataggio:,Zuletzt gespeichert am:,Último guardado:,지난번 리포트,ぜんかいのレポート
:,:,:,:,:,:,:
"[VAR NUM2(0001)]/[VAR NUM2(0002)]/[VAR NUM4(0000,0000)]","[VAR NUM2(0002)]/[VAR NUM2(0001)]/[VAR NUM4(0000,0000)]","[VAR NUM2(0002)]/[VAR NUM2(0001)]/[VAR NUM4(0000,0000)]","[VAR NUM2(0002)].[VAR NUM2(0001)].[VAR NUM4(0000,0000)]","[VAR NUM2(0002)]-[VAR NUM2(0001)]-[VAR NUM4(0000,0000)]","[VAR NUM4(0000,0000)]/[VAR NUM2(0001)]/[VAR NUM2(0002)]","[VAR NUM4(0000,0000)]/[VAR NUM2(0001)]/[VAR NUM2(0002)]"
[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)]
[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)]
[VAR LOCATION(0000)],[VAR LOCATION(0000)],[VAR LOCATION(0000)],[VAR LOCATION(0000)],[VAR LOCATION(0000)],[VAR LOCATION(0000)],[VAR LOCATION(0000)]
Would you like to save the game?,Voulez-vous sauvegarder la partie ?,Vuoi salvare il gioco?,Möchtest du das Spiel speichern?,¿Quieres guardar la partida?,여기까지의 활약을 포켓몬 리포트에 기록하겠습니까?,ここまでの　かつやくを ポケモンレポートに　かきこみますか？
