en,fr,it,de,es,ko,kana
PP,PP,PP,AP,PP,PP,PP
Lv.,N. ,L.,Lv.,Nv.,Lv.,Lv.
NEXT LV.,Niveau suivant,Al livello successivo,Nächster Level,Para subir de nivel,다음 레벨까지,つぎのレベルまで
HP,PV,PS,KP,PS,HP,HP
ATTACK,Attaque,Attacco,Angriff,Ataque,공격,こうげき
DEFENSE,Défense,Difesa,Vert.,Defensa,방어,ぼうぎょ
SP. ATK,Atq. Spé.,Att. Sp.,Sp.-Ang.,At. Esp.,특수공격,とくこう
SP. DEF,Déf. Spé.,Dif. Sp.,Sp.-Vert.,Def. Esp.,특수방어,とくぼう
SPEED,Vitesse,Velocità,Initiative,Velocidad,스피드,すばやさ
[VAR COLOR(0002)]♂[VAR COLOR(0000)],[VAR COLOR(0002)]♂[VAR COLOR(0000)],[VAR COLOR(0002)]♂[VAR COLOR(0000)],[VAR COLOR(0002)]♂[VAR COLOR(0000)],[VAR COLOR(0002)]♂[VAR COLOR(0000)],[VAR COLOR(0002)]♂[VAR COLOR(0000)],[VAR COLOR(0002)]♂[VAR COLOR(0000)]
[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)]
[~ 11],[~ 11],[~ 11],[~ 11],[~ 11],[~ 11],[~ 11]
SUMMARY,Résumé,Info,Bericht,Datos,능력치를 본다,つよさをみる
CHECK MOVES,Capacités,Mostra mosse,Attacken,Movimientos,기술을 본다,わざをみる
CATEGORY,Catégorie,Categoria,Kategorie,Categoría,분류,ぶんるい
POWER,Puissance,Potenza,Stärke,Potencia,위력,いりょく
ACCURACY,Précision,Precisione,Genauigkeit,Precisión,명중,めいちゅう
STATUS,Statut,Di stato,Status,Estado,변화,へんか
PHYSICAL,Physique,Fisica,Physisch,Físico,물리,ぶつり
SPECIAL,Spéciale,Speciale,Spezial,Especial,특수,とくしゅ
Appeal,Démonstration,Fascino,Kunststück,Exhibición,어필,アピール
Jamming,Blocage,Intralcio,Stören,Interferencia,방해,ぼうがい
Choose a Pokémon.,Veuillez choisir un Pokémon.,Scegli un Pokémon.,Wähle ein Pokémon.,Elige un Pokémon.,포켓몬을 선택해 주십시오,ポケモンを　えらんでください
Use on which Pokémon?,L’utiliser sur quel Pokémon ?,Su quale Pokémon?,Auf welches Pokémon anwenden?,¿Con qué Pokémon quieres usarlo?,어느 포켓몬에게 쓸까?,どの　ポケモンに　つかう？
Battle using which Pokémon?,Combattre avec quel Pokémon ?,Quale Pokémon mandi in campo?,Mit welchem Pokémon kämpfen?,¿Con qué Pokémon quieres combatir?,어느 포켓몬으로 싸우겠습니까?,どの　ポケモンで　たたかう？
SWITCH,Changer,Sostituisci,Tausch,Cambiar,교체한다,いれかえる
IN BATTLE,Au combat,È già in campo,Schon im Kampf,En combate,배틀 중,せんとうちゅう
CANNOT BATTLE,Ne peut pas se battre,Non è in grado di lottare,Kampfunfähig,No puede luchar,싸울 수 없다,たたかえない
PARTNER’S,Partenaire,Alleato,Partner,Compañero,파트너,パートナー
RESTORE,Soigner,Rimedi,Regenerieren,Curar,회복한다,かいふくする
SUMMARY,Résumé,Info,Bericht,Datos,능력치를 본다,つよさをみる
