en,fr,it,de,es,ko,kana
a Link Trade,Échange en réseau,Scambio in link,Link-Tausch,Intercambio en conexión,통신교환,つうしんこうかん
a Link Trade,Échange en réseau,Scambio in link,Link-Tausch,Intercambio en conexión,통신교환,つうしんこうかん
the Kanto region,Kanto,Kanto,Kanto-Region,Kanto,관동지방,カントーちほう
the Johto region,Johto,Johto,Johto-Region,Johto,성도지방,ジョウトちほう
the Hoenn region,Hoenn,Hoenn,Hoenn-Region,Hoenn,호연지방,ホウエンちほう
the Sinnoh region,Sinnoh,Sinnoh,Sinnoh-Region,Sinnoh,신오지방,シンオウちほう
a distant land,Pays lointain,Terra lontana,Fernes Land,Tierra lejana,아주 먼 땅,とおくはなれたとち
——————,－－－－－－－－－－,----------,－－－－－－－－－－,－－－－－－－－－－,－－－－－－－－－－,－－－－－－－－－－
the Unova region,Unys,Unima,Einall-Region,Teselia,하나지방,イッシュちほう
the Kalos region,Kalos,Kalos,Kalos-Region,Kalos,칼로스지방,カロスちほう
Pokémon Link,Poké Lien,Pokémon Link,Pokémon-Link,Nexo Pokémon,포켓몬링크,ポケモンリンク
Pokémon GO,Pokémon GO,Pokémon GO,Pokémon GO,Pokémon GO,Pokémon GO,Pokémon GO
the Kanto region,Kanto,Kanto,Kanto-Region,Kanto,관동지방,カントーちほう
the Hoenn region,Hoenn,Hoenn,Hoenn-Region,Hoenn,호연지방,ホウエンちほう
the Alola region,Alola,Alola,Alola-Region,Alola,알로라지방,アローラちほう
Poké Pelago,Poké Loisir,Poké Resort,Pokémon-Resort,Poké Resort,포켓리조트,ポケリゾート
the Johto region,Johto,Johto,Johto-Region,Johto,성도지방,ジョウトちほう
Pokémon HOME,Pokémon HOME,Pokémon HOME,Pokémon HOME,Pokémon HOME,Pokémon HOME,Pokémon HOME
the Kanto region,Kanto,Kanto,Kanto-Region,Kanto,관동지방,カントーちほう
