en,fr,it,de,es,ko,kana
——————,－－－－－－－－－－,----------,－－－－－－－－－－,－,－－－－－－－－－－,－－－－－－－－－－
\n[1]'s House,Maison de \n[1],\n[1]'s House,\n[1]'s House,\n[1]'s House,\n[1]'s House,\n[1]'s House
PSDK town,Village de PSDK,Zona Misteriosa,Mysteriöser Ort,Lugar misterioso,수수께끼의 장소,なぞのばしょ
Road 1,Route 1,"","","","",""
Viridian City,Jadielle,"","","","",""
Road 2,Route 2,"","","","",""
Viridian Forest,Forêt de Jade,"","","","",""
Pewter City,Argenta,"","","","",""
Route 22,Route 22,Percorso 22,Route 22,Ruta 22,22번도로,22ばんどうろ
Vaniville Pathway,Sentier Croquis,Vicolo Bozzetto,Escissia-Pfad,Sendero Boceto,조아의 작은 길,アサメのこみち
Aquacorde Town,Quarellis,Rio Acquerello,Aquarellia,Pueblo Acuarela,수미마을,メイスイタウン
"","","","","","",""
Route 2,Route 2,Percorso 2,Route 2,Ruta 2,2번도로,２ばんどうろ
Avance Trail,Chemin Progrès,Via Progresso,Progrès-Weg,Vía del Avance,아방쎄 도로,アバンセどおり
Santalune Forest,Forêt de Neuvartault,Bosco Novartopoli,Nouvaria-Wald,Bosque de Novarte,백단숲,ハクダンのもり
"","","","","","",""
Route 3,Route 3,Percorso 3,Route 3,Ruta 3,3번도로,３ばんどうろ
Ouvert Way,Chemin Ouvert,Via Aperta,Ouvert-Weg,Senda Despejada,우베르 도로,ウベールどおり
Santalune City,Neuvartault,Novartopoli,Nouvaria City,Ciudad Novarte,백단시티,ハクダンシティ
"","","","","","",""
Route 4,Route 4,Percorso 4,Route 4,Ruta 4,4번도로,４ばんどうろ
Parterre Way,Route Fleurie,Viale Parterre,Parterre-Weg,Senda del Parterre,파르테르 가도,パルテールかいどう
Lumiose City,Illumis,Luminopoli,Illumina City,Ciudad Luminalia,미르시티,ミアレシティ
"","","","","","",""
Prism Tower,Tour Prismatique,Torre Prisma,Prismaturm,Torre Prisma,프리즘타워,プリズムタワー
"","","","","","",""
Lysandre Labs,Labos Lysandre,Laboratori Elisio,Labor von Flordelis,Laboratorios Lysson,플라드리 래버러토리,フラダリラボ
"","","","","","",""
Route 5,Route 5,Percorso 5,Route 5,Ruta 5,5번도로,５ばんどうろ
Versant Road,Chemin du Versant,Via Versante,Coteau-Weg,Vía Repecho,베르성 도로,ベルサンどおり
Camphrier Town,Fort-Vanitas,Castel Vanità,Vanitéa,Pueblo Vánitas,고목내마을,コボクタウン
"","","","","","",""
Shabboneau Castle,Fort de Vanitas,Maniero Sottotono,Château Tristesse,Castillo Caduco,침울한 성,ショボンヌじょう
"","","","","","",""
Route 6,Route 6,Percorso 6,Route 6,Ruta 6,6번도로,６ばんどうろ
Palais Lane,Allée du Palais,Boulevard Palazzo,Palais-Allee,Alameda del Palacio,팔레 가로수 길,パレのなみきみち
Parfum Palace,Palais Chaydeuvre,Reggia Aurea,Magnum-Opus-Palast,Palacio Cénit,파르팽 궁전,パルファムきゅうでん
"","","","","","",""
Route 7,Route 7,Percorso 7,Route 7,Ruta 7,7번도로,７ばんどうろ
Rivière Walk,Chemin des Berges,Via Fiume,Rivière-Promenade,Paseo de la Ribera,리비에르 라인,リビエールライン
Cyllage City,Relifac-le-Haut,Altoripoli,Relievera City,Ciudad Relieve,삼채시티,ショウヨウシティ
"","","","","","",""
Route 8,Route 8,Percorso 8,Route 8,Ruta 8,8번도로,８ばんどうろ
Muraille Coast,Falaise Muraille,Muraglia Costiera,Muraille-Küstenpfad,Muralla Costera,미라유 해안,ミュライユかいがん
Ambrette Town,Roche-sur-Gliffe,Petroglifari,Petrophia,Pueblo Petroglifo,가라마을,コウジンタウン
"","","","","","",""
Route 9,Route 9,Percorso 9,Route 9,Ruta 9,9번도로,９ばんどうろ
Spikes Passage,Piste Piquante,Sentiero Punzoni,Rihorn-Pass,Paso de Rhyhorn,뿔 산길,トゲトゲさんどう
Battle Chateau,Château de Combat,Castello Lotta,Kampfschloss,Bastión Batalla,배틀샤토,バトルシャトー
"","","","","","",""
Route 10,Route 10,Percorso 10,Route 10,Ruta 10,10번도로,１０ばんどうろ
Menhir Trail,Route Menhir,Strada dei Menhir,Menhir-Weg,Camino Menhires,멘히르로드,メンヒルロード
Geosenge Town,Cromlac’h,Cromleburgo,Cromlexia,Pueblo Crómlech,옥유마을,セキタイタウン
"","","","","","",""
Route 11,Route 11,Percorso 11,Route 11,Ruta 11,11번도로,１１ばんどうろ
Miroir Way,Chemin Miroir,Via dei Riflessi,Miroir-Weg,Senda Reflejos,미르와르 도로,ミロワールどおり
Reflection Cave,Grotte Miroitante,Grotta dei Riflessi,Spiegelhöhle,Cueva Reflejos,비춤의 동굴,うつしみのどうくつ
"","","","","","",""
Shalour City,Yantreizh,Yantaropoli,Yantara City,Ciudad Yantra,사라시티,シャラシティ
"","","","","","",""
Tower of Mastery,Tour Maîtrise,Torre Maestra,Turm der Erkenntnis,Torre Maestra,마스터타워,マスタータワー
"","","","","","",""
Route 12,Route 12,Percorso 12,Route 12,Ruta 12,12번도로,１２ばんどうろ
Fourrage Road,Chemin Fourrage,Via dei Pascoli,Fourrage-Weg,Vereda del Heno,프라주 도로,フラージュどおり
Coumarine City,Port Tempères,Temperopoli,Tempera City,Ciudad Témpera,비익시티,ヒヨクシティ
"","","","","","",""
Route 13,Route 13,Percorso 13,Route 13,Ruta 13,13번도로,１３ばんどうろ
Lumiose Badlands,Steppe d’Illumis,Landa di Luminopoli,Illumina-Steppe,Páramo de Luminalia,미르 황야,ミアレのこうや
Route 14,Route 14,Percorso 14,Route 14,Ruta 14,14번도로,１４ばんどうろ
Laverre Nature Trail,Laie Romant-ss-Bois,Sentiero Romantopoli,Romantia-Waldweg,Arboleda Romantis,후늬 임도,クノエのりんどう
Laverre City,Romant-sous-Bois,Romantopoli,Romantia City,Ciudad Romantis,후늬시티,クノエシティ
"","","","","","",""
Poké Ball Factory,Usine de Poké Balls,Fabbrica Poké Ball,Pokéball-Fabrik,Fábrica Poké Balls,볼 공장,ボールこうじょう
"","","","","","",""
Route 15,Route 15,Percorso 15,Route 15,Ruta 15,15번도로,１５ばんどうろ
Brun Way,Chemin Brun,Via Fogliebrune,Brun-Weg,Sendero Hojarasca,브렁 도로,ブランどおり
Dendemille Town,La Frescale,Frescovilla,Frescora,Pueblo Fresco,버들비마을,フウジョタウン
"","","","","","",""
Route 16,Route 16,Percorso 16,Route 16,Ruta 16,16번도로,１６ばんどうろ
Mélancolie Path,Chemin Tristesse,Via Malinconia,Tristesse-Weg,Senda Melancolía,트리스트 도로,トリストどおり
[~ 80],[~ 80],[~ 80],[~ 80],[~ 80],[~ 80],[~ 80]
[~ 81],[~ 81],[~ 81],[~ 81],[~ 81],[~ 81],[~ 81]
Frost Cavern,Caverne Gelée,Caverna Gelata,Frosthöhle,Gruta Helada,프로스트케이브,フロストケイブ
"","","","","","",""
Route 17,Route 17,Percorso 17,Route 17,Ruta 17,17번도로,１７ばんどうろ
Mamoswine Road,Route Mammochon,Passo Mamoswine,Mamutel-Weg,Sendero Mamoswine,맘모꾸리로드,マンムーロード
Anistar City,Flusselles,Fluxopoli,Fluxia City,Ciudad Fluxus,향전시티,ヒャッコクシティ
"","","","","","",""
Route 18,Route 18,Percorso 18,Route 18,Ruta 18,18번도로,１８ばんどうろ
Vallée Étroite Way,Chemin des Gorges,Via Valle Stretta,Vallée-Étroite-Weg,Senda Valle Angosto,에뜨르와 발레 도로,エトロワ・バレどおり
Couriway Town,Mozheim,Ponte Mosaico,Mosaia,Pueblo Mosaico,배롱마을,レンリタウン
"","","","","","",""
Route 19,Route 19,Percorso 19,Route 19,Ruta 19,19번도로,１９ばんどうろ
Grande Vallée Way,Chemin du Val,Via Valle Larga,Vallée-Large-Weg,Senda del Gran Valle,라주 발레 도로,ラルジュ・バレどおり
Snowbelle City,Auffrac-les-Congères,Fractalopoli,Fractalia City,Ciudad Fractal,이설시티,エイセツシティ
"","","","","","",""
Route 20,Route 20,Percorso 20,Route 20,Ruta 20,20번도로,２０ばんどうろ
Winding Woods,Bois du Dédale,Bosco Passoperso,Irrwald,Bosque Errantes,미혹의 숲,まよいのもり
Pokémon Village,Village Pokémon,Valle dei Pokémon,Pokémon-Dorf,Villa Pokémon,포켓몬마을,ポケモンのむら
"","","","","","",""
Route 21,Route 21,Percorso 21,Route 21,Ruta 21,21번도로,２１ばんどうろ
Dernière Way,Chemin Final,Via Ultima,Dernier-Weg,Vía Ultimia,데르니에 도로,デルニエどおり
Route 22,Route 22,Percorso 22,Route 22,Ruta 22,22번도로,２２ばんどうろ
Détourner Way,Chemin Détour,Via Detour,Détourné-Weg,Vía Desvío,데뚜르네 도로,デトルネどおり
Victory Road,Route Victoire,Via Vittoria,Siegesstraße,Calle Victoria,챔피언로드,チャンピオンロード
"","","","","","",""
Pokémon League,Ligue Pokémon,Lega Pokémon,Pokémon Liga,Liga Pokémon,포켓몬리그,ポケモンリーグ
"","","","","","",""
Kiloude City,Batisques,Batikopoli,Batika City,Ciudad Batik,기남시티,キナンシティ
"","","","","","",""
