Index,en,fr
0,TEXT,"C'est fermé.\nlIl y a un message sur la porte.\nl""Voyage vers \t[10, 8] en cours, de retour prochainement pour le suivant."""
1,TEXT,"J'aime bien affronter les dresseurs en route vers \t[10, 8]. Et si tu es sur cette route, c'est que tu comptes t'y rendre, voyons un peu ce que tu vaux !"
2,TEXT,"Je te souhaites bonne chance pour ton voyage vers \t[10, 8], tu en auras probablement besoin."
3,TEXT,J'adore courir pieds nus et faire voler le sable autour de moi. Mais je ne refuse jamais un bon combat !
4,TEXT,J'ai du sable partout sur moi maintenant !
5,TEXT,"Le vieil homme vivant près de la plage fais des voyages entre ici et \t[10, 8] tous les jours pour transporter des gens. Son bateau n'est pourtant pas tout jeune."
6,TEXT,N'espère pas échapper à ce combat !\nlEt ne viens pas pleurer si tu perds !
7,TEXT,C'est moi qui pleure de ma défaite...
8,TEXT,Qu'est ce que tu préfères ?\nlPécher dans les étangs et les rivières ou dans la mer et l'océan ?
9,TEXT,Tu savais que les Pokémon que tu peux pécher dans les étangs et les rivières ne sont pas les mêmes que ceux que l'on trouve dans la mer et l'océan ?
10,TEXT,Oh non !\nlC'est catastrophique !\nlJ'ai fais tomber mon Pokédex et il a atterri de l'autre côté de la rive...\nl Tu veux bien m'aider à le récupérer s'il te plaît ?
11,TEXT,Ce bateau est plutôt vieux mais à l'air en état de marche.
12,TEXT,"Bonjour jeune homme.\nlJe vais bientôt effectuer un nouveau voyage vers \t[10, 8], es-tu intéressé pour que je t'y amène ?\nlAttention, je ne vais pas revenir ici avant un certain temps."
13,TEXT,"Très bien, alors en route !"
14,TEXT,Je vois. N'hésites pas à me dire si tu souhaites partir avec moi.
15,TEXT,"Oui, allons vers \t[10, 8]."
16,TEXT,Pas tout de suite.
17,TEXT,En avant !
18,TEXT,Hmm.[WAIT 30].[WAIT 30].
19,TEXT,"Il semblerait que j'ai un problème avec mon gouvernail.\nlJe vais essayer de le réparer, essaye de voir si quelqu'un sur cette île peut nous aider."
20,TEXT,Hmm... Il semblerait qu'il faille creuser encore plus profond...
21,TEXT,Aaaaaah ! Tu m'as fait peur !\nlRecule un peu !
22,TEXT,"Mais qu'est ce que tu fais ici ?[WAIT 60]\nl...[WAIT 60]\nl...\nlOh je vois, tu t'es échoué sur cette île à cause d'un problème de gouvernail."
23,TEXT,C'est un problème récurent sur les vieux bateaux.[WAIT 60]\nl...\nlJe dois avoir de quoi le réparer chez moi.\nlNous ferions mieux d'y aller tout de suite d'ailleurs.
24,TEXT,Cette étrange machine semble pomper l'eau de ce lac souterrain.
25,TEXT,L'ordinateur est verrouillé.
26,TEXT,Laisse-moi soigner tes Pokémon.
27,TEXT,Viens me voir si tu as besoin que je soigne tes Pokémon.
28,TEXT,"Hmm, je devrai avoir de quoi réparer un gouvernail ici...[WAIT 60]\nl...[WAIT 60]\nlHmm, ça devrait faire l'affaire..."
29,TEXT,"Je vais voir ce que je peux faire à ton bateau, retrouve moi la-bas."
30,TEXT,Ce gentil monsieur a accepté de nous aider à réparer notre bateau.\nlJ'espère que tout se passe bien...
31,TEXT,"Une pièce à l'air coincé et je n'arrive pas à la débloquer...\nlIl nous faudrait l'aide d'un Pokémon fort tel que \c[2]\t[0, 66]\c[0].\nlPeux-tu essayer d'en attraper un ?\nlEt ne t'aventures pas trop loin dans la caverne.\nlReviens me voir si tu es à cours de \c[1]\t[12, 4]\c[0]."
32,TEXT,"Je vois que tu n'as plus de \c[1]\t[12, 4]\c[0] ?\nlEn voilà quelques-unes, ne les gâche pas je n'en n'ai pas beaucoup !"
33,TEXT,"Oh !\nlMais tu as attrapé un \c[2]\t[0, 66]\c[0] !\nlParfait, il va pouvoir nous aider à décoincer cette pièce bloquée."
34,TEXT,"Bien voilà qui est fait, c'est réparé."
35,TEXT,"Je retroune chez moi, bon voyage."
36,TEXT,Que fais-tu encore ici ?\nlVous n'êtes pas encore partis ?
37,TEXT,"La bateau est réparé, tu es prêt à repartir ?"
38,TEXT,"Et voilà, nous somme arrivés à \t[10, 8] !\nlDésolé pour le contre temps !\nlJe te souhaites le meilleur pour ton aventure !"
39,TEXT,"Je vais faire vérifier mon bateau avant de repartir, cela va prendre un peu de temps..."
