en,fr,it,de,es,ko,kana
●●,●●,●●,●●,●●,●●,●●
A wild [VAR PKNAME(0000)] appeared!,Un [VAR PKNAME(0000)] sauvage apparaît !,Ah! È apparso [VAR 1002][VAR 1502(0000)][VAR PKNAME(0000)] selvatico!,Ein wildes [VAR PKNAME(0000)] erscheint!,¡Un [VAR PKNAME(0000)] salvaje te corta el paso!,앗! 야생 [VAR PKNAME(0000)][VAR 1900(0003)] 튀어나왔다!,あっ！　やせいの [VAR PKNAME(0000)]が　とびだしてきた！
Whoa! A wild [VAR PKNAME(0000)] leaped out!,Oh ! Un [VAR PKNAME(0000)] sauvage vous bondit dessus !,Argh! È sbucato [VAR 1002][VAR 1502(0000)][VAR PKNAME(0000)] selvatico!,Huch! Ein wildes [VAR PKNAME(0000)] greift an!,¡Oh! ¡Un [VAR PKNAME(0000)] se abalanza sobre ti!,우왓! 야생 [VAR PKNAME(0000)][VAR 1900(0003)] 덮쳐왔다!,うわっ！　やせいの [VAR PKNAME(0000)]が　とびかかってきた！
Oh! A wild [VAR PKNAME(0000)] appeared!,Un [VAR PKNAME(0000)] sauvage apparaît !,Oh! È apparso [VAR 1002][VAR 1502(0000)][VAR PKNAME(0000)] selvatico!,Ein wildes [VAR PKNAME(0000)] erscheint!,¡Un [VAR PKNAME(0000)] salvaje te corta el paso!,앗! 야생 [VAR PKNAME(0000)][VAR 1900(0003)] 나타났다!,あっ！　やせいの [VAR PKNAME(0000)]が　あらわれた！
A wild [VAR PKNAME(0000)] appeared!,Un [VAR PKNAME(0000)] sauvage apparaît !,È apparso [VAR 1002][VAR 1502(0000)][VAR PKNAME(0000)] selvatico!,Ein wildes [VAR PKNAME(0000)] erscheint!,¡Un [VAR PKNAME(0000)] salvaje te corta el paso!,야생 [VAR PKNAME(0000)][VAR 1900(0003)] 나타났다!,やせいの [VAR PKNAME(0000)]が　あらわれた！
Whoa! The [VAR PKNAME(0000)] you stepped on attacked!,Oh ! Votre monture a failli écraser un [VAR PKNAME(0000)]… Il vous attaque !,Argh! Stavi per calpestare [VAR 1002][VAR 1502(0000)][VAR PKNAME(0000)]!,"Huch! Ein [VAR PKNAME(0000)], das du beinahe zertrampelt hättest, greift an!",¡Es el [VAR PKNAME(0000)] que acabas de pisar!,우왓! 밟은 [VAR PKNAME(0000)][VAR 1900(0003)] 덮쳐왔다!,うわっ！　ふみつけた [VAR PKNAME(0000)]が　とびかかってきた！
[VAR PKNAME(0000)] appeared!,[VAR PKNAME(0000)] apparaît !,È apparso [VAR PKNAME(0000)]!,Ein [VAR PKNAME(0000)] erscheint!,¡Es [VAR PKNAME(0000)]!,[VAR PKNAME(0000)][VAR 1900(0003)] 나타났다!,[VAR PKNAME(0000)]が　あらわれた！
Whoa! A horde of [VAR PKNAME(0000)] appeared!,Oh ! Une horde de Pokémon sauvages apparaît !,Argh! È apparso un gruppo di Pokémon selvatici!,Eine Gruppe wilder Pokémon erscheint!,¡Te has topado con una horda de Pokémon salvajes!,우왓! [VAR PKNAME(0000)] 무리와 조우했다!,うわっ！　[VAR PKNAME(0000)]の　むれに そうぐうした！
You are challenged by [VAR 010E(0000)] [VAR TRNAME(0001)]!,"[VAR 019E(0000)] veu[VAR NUMBRNCH(0000,0300)]lent se battre !",Parte la sfida di [VAR TRNAME(0001)] ([VAR 010E(0000)])!,Eine Herausforderung von: [VAR 010E(0000)] [VAR TRNAME(0001)]!,"¡[VAR 1709(0000)][VAR 019E(0000)] te desafía[VAR NUMBRNCH(0000,0100)]n!",[VAR 010E(0000)] [VAR TRNAME(0001)][VAR 1900(0003)] 승부를 걸어왔다!,[VAR 010E(0000)]の　[VAR TRNAME(0001)]が しょうぶを　しかけてきた！
[VAR TRNAME(0000)] is issuing a challenge!,[VAR TRNAME(0000)] veut se battre !,Parte la sfida con [VAR TRNAME(0000)]!,[VAR TRNAME(0000)] will mit dir kämpfen!,¡[VAR TRNAME(0000)] quiere combatir contigo!,[VAR TRNAME(0000)][VAR 1900(0003)] 승부를 걸어왔다!,[VAR TRNAME(0000)]が しょうぶを　しかけてきた！
You are challenged by [VAR 010E(0000)] [VAR TRNAME(0001)] and [VAR 010E(0002)] [VAR TRNAME(0003)]!,[VAR 019E(0000)] et [VAR 019E(0002)] veulent se battre !,Parte la sfida di [VAR TRNAME(0001)] ([VAR 010E(0000)]) e [VAR TRNAME(0003)] ([VAR 010E(0002)])!,[VAR 010E(0000)] [VAR TRNAME(0001)] und [VAR 010E(0002)] [VAR TRNAME(0003)] möchten kämpfen!,¡[VAR 1709(0000)][VAR 019E(0000)] y [VAR 1708(0002)] [VAR 019E(0002)] te desafían!,[VAR 010E(0000)] [VAR TRNAME(0001)][VAR 1900(0004)] [VAR 010E(0002)] [VAR TRNAME(0003)][VAR 1900(0003)] 승부를 걸어왔다!,[VAR 010E(0000)]の　[VAR TRNAME(0001)]と [VAR 010E(0002)]の　[VAR TRNAME(0003)]が しょうぶを　しかけてきた！
