en,fr,it,de,es,ko,kana
Cheri,Ceriz,Baccaliegia,Amrena,Zreza,버치,クラボ
Chesto,Maron,Baccastagna,Maron,Atania,유루,カゴ
Pecha,Pêcha,Baccapesca,Pirsif,Meloc,복슝,モモン
Rawst,Fraive,Baccafrago,Fragia,Safre,복분,チーゴ
Aspear,Willia,Baccaperina,Wilbir,Perasi,배리,ナナシ
Leppa,Mepo,Baccamela,Jonago,Zanama,과사,ヒメリ
Oran,Oran,Baccarancia,Sinel,Aranja,오랭,オレン
Persim,Kika,Baccaki,Persim,Caquic,시몬,キー
Lum,Prine,Baccaprugna,Prunus,Ziuela,리샘,ラム
Sitrus,Sitrus,Baccacedro,Tsitru,Zidra,자뭉,オボン
Figy,Figuy,Baccafico,Giefe,Higog,무화,フィラ
Wiki,Wiki,Baccakiwi,Wiki,Wiki,위키,ウイ
Mago,Mago,Baccamango,Mago,Ango,마고,マゴ
Aguav,Gowav,Baccaguava,Gauve,Guaya,아바,バンジ
Iapapa,Papaya,Baccapaia,Yapa,Pabaya,파야,イア
Razz,Framby,Baccalampon,Himmih,Frambu,라즈,ズリ
Bluk,Remu,Baccamora,Morb,Oram,블리,ブリー
Nanab,Nanab,Baccabana,Nanab,Latano,나나,ナナ
Wepear,Repoi,Baccapera,Nirbe,Peragu,서배,セシナ
Pinap,Nanana,Baccananas,Sanana,Pinia,파인,パイル
Pomeg,Grena,Baccagrana,Grana,Grana,유석,ザロク
Kelpsy,Alga,Baccalga,Setang,Algama,시마,ネコブ
Qualot,Qualot,Baccaloquat,Qualot,Ispero,파비,タポル
Hondew,Lonme,Baccamelon,Honmel,Meluce,로매,ロメ
Grepa,Résin,Baccauva,Labrus,Uvav,또뽀,ウブ
Tamato,Tamato,Baccamodoro,Tamot,Tamate,토망,マトマ
Cornn,Siam,Baccavena,Saim,Mais,수숙,モコシ
Magost,Mangou,Baccagostan,Magost,Aostan,고스티,ゴス
Rabuta,Rabuta,Baccambutan,Rabuta,Rautan,라부탐,ラブタ
Nomel,Tronci,Baccalemon,Tronzi,Monli,노멜,ノメル
