Index,en,fr
0,TEXT,"Salut \n[1] ! Merci de m'avoir aidé hier.\nlJe crois avoir aperçu un pokémon avec un bulbe sur le dos qui se cachait hier avant que je sois attaqué.\nlImpossible de le retrouver, j'aimerais bien le revoir !"
1,TEXT,"Impossible de retrouver ce Pokémon, j'aimerais bien le revoir !"
2,TEXT,"C'était donc un \c[2]\t[0, 1]\c[0], j'aurais du m'en douter."
3,TEXT,"Cet arbre est différent des autres.\nlIl y a un \c[2]\t[0, 14]\c[0] d'une couleur inhabituelle accroché à l'une des branches."
4,TEXT,J'ai attrapé un super Pokémon ici. Je suis certain qu'il est super puissant !
5,TEXT,Il va falloir que j'entraine mon Pokémon si je veux te battre.
6,TEXT,Vers la gauche - Silverbridge\nlVers la droite - Amaryllis
7,TEXT,"J'adore pécher ici, il y a pleins de Pokémon.\nlTiens, il me reste une \c[1]\t[12, 445]\c[0].\nlJe te la donne si ça te tente d'essayer."
8,TEXT,"Tu verras, pécher c'est super ! "
9,TEXT,Il n'y a rien à faire dans cette forêt !\nlFaisons un combat !
10,TEXT,Il n'y a rien à faire et en plus j'ai perdu.
11,TEXT,"Bonjour, je vends quelques objets si tu es interessé\E."
12,TEXT,N'hésites pas à repasser me voir !
13,TEXT,"Oh non !\nlTu as fais fuir le Pokémon que j'étais entrain d'observer !\nlTant qu'à faire fuir les Pokémons, affrontons-nous !"
14,TEXT,Laisse-moi observer les Pokémons maintenant !
15,TEXT,"Je vois que tu as une équipe de Pokémon, cela signifie que tu es un dresseur !\nlTu ne peux pas refuser mon challenge !"
16,TEXT,"Si j'avais su, j'aurais mieux fais de ne pas te challenger..."
17,TEXT,J'adore les Pokémon insectes ! \nlJ'en ai attrapé pleins !
18,TEXT,Mes pauvres Pokémon insectes...
