en,fr,it,de,es,ko,kana
YOUR MONEY,         Argent :,Soldi,Geld:,Dinero,용돈,おこづかい
"$[VAR 0206(0000,002C)]","[VAR 0206(0000,202F)] $","[VAR 0206(0000,002E)] $","[VAR 0206(0000,002E)] $","[VAR 0206(0000,202F)] $","[VAR 0206(0000,0000)]원","[VAR 0206(0000,0000)]円"
[VAR 0112(0000)],[VAR 0112(0000)],[VAR 0112(0000)],[VAR 0112(0000)],[VAR 0112(0000)],[VAR 0112(0000)],[VAR 0112(0000)]
TR,Disques Techniques,Dischi Tecnici,TPs,DT,기술레코드,わざレコード
[VAR 0109(0000)],[VAR 0109(0000)],[VAR 0109(0000)],[VAR 0109(0000)],[VAR 0109(0000)],[VAR 0109(0000)],[VAR 0109(0000)]
[~ 5],[~ 5],[~ 5],[~ 5],[~ 5],[~ 5],[~ 5]
Lv. [VAR NUM3(0000)],N. [VAR NUM3(0000)],L. [VAR NUM3(0000)],Lv. [VAR NUM3(0000)],Nv. [VAR NUM3(0000)],Lv.[VAR NUM3(0000)],Lv.[VAR NUM3(0000)]
[VAR PKNICK(0000)],[VAR PKNICK(0000)],[VAR PKNICK(0000)],[VAR PKNICK(0000)],[VAR PKNICK(0000)],[VAR PKNICK(0000)],[VAR PKNICK(0000)]
HP,PV,PS,KP,PS,HP,HP
/,/,/,/,/,/,/
"[VAR 0203(0000,0000)]","[VAR 0203(0000,202F)]","[VAR 0203(0000,002E)]","[VAR 0203(0000,0000)]","[VAR 0203(0000,0000)]","[VAR 0203(0000,0000)]","[VAR 0203(0000,0000)]"
"[VAR 0203(0000,0000)]","[VAR 0203(0000,202F)]","[VAR 0203(0000,002E)]","[VAR 0203(0000,0000)]","[VAR 0203(0000,0000)]","[VAR 0203(0000,0000)]","[VAR 0203(0000,0000)]"
Type,Type,Tipo,Typ:,Tipo,타입,タイプ
Category,Catégorie,Categoria,Kategorie:,Clase,분류,ぶんるい
Power,Puissance,Potenza,Stärke:,Potencia,위력,いりょく
[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)]
Accuracy,Précision,Precisione,Genauigkeit:,Precisión,명중,めいちゅう
[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)],[VAR NUM3(0000)]
—,-,-,---,—,-,-
PP,PP,PP,AP:,PP,PP,PP
[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)],[VAR NUM2(0000)]
TM[VAR NUM2(0000)],CT[VAR NUM2(0000)],MT[VAR NUM2(0000)],TM[VAR NUM2(0000)],MT[VAR NUM2(0000)],No.[VAR NUM2(0000)],No.[VAR NUM2(0000)]
[VAR NUM2(0000)]/[VAR NUM2(0001)],[VAR NUM2(0000)]/[VAR NUM2(0001)],[VAR NUM2(0000)]/[VAR NUM2(0001)],[VAR NUM2(0000)]/[VAR NUM2(0001)],[VAR NUM2(0000)]/[VAR NUM2(0001)],[VAR NUM2(0000)]/[VAR NUM2(0001)],[VAR NUM2(0000)]/[VAR NUM2(0001)]
