en,fr,it,de,es,ko,kana
USE,Utiliser,Usa,Einsetzen,Usar,사용한다,つかう
DISCARD,Jeter,Butta,Müll,Tirar,버린다,すてる
REGISTER,Enregistrer,Assegna,Registrieren,Asignar,등록,とうろく
GIVE,Donner,Dai,Geben,Dar,건네준다,もたせる
[~ 4],[~ 4],[~ 4],[~ 4],[~ 4],[~ 4],[~ 4]
WALK,Marcher,Scendi,Laufen,Andar,내린다,おりる
[~ 6],[~ 6],[~ 6],[~ 6],[~ 6],[~ 6],[~ 6]
CANCEL,Retour,Indietro,Zurück,Salir,취소,やめる
[~ 8],[~ 8],[~ 8],[~ 8],[~ 8],[~ 8],[~ 8]
[~ 9],[~ 9],[~ 9],[~ 9],[~ 9],[~ 9],[~ 9]
[~ 10],[~ 10],[~ 10],[~ 10],[~ 10],[~ 10],[~ 10]
[~ 11],[~ 11],[~ 11],[~ 11],[~ 11],[~ 11],[~ 11]
[~ 12],[~ 12],[~ 12],[~ 12],[~ 12],[~ 12],[~ 12]
[~ 13],[~ 13],[~ 13],[~ 13],[~ 13],[~ 13],[~ 13]
DESELECT,Désenregistrer,Deseleziona,Aufheben,Anular asignación,해제,かいじょ
[~ 15],[~ 15],[~ 15],[~ 15],[~ 15],[~ 15],[~ 15]
[~ 16],[~ 16],[~ 16],[~ 16],[~ 16],[~ 16],[~ 16]
/,/,/,/,/,/,/
—,-,-,-,-,-,-
[~ 19],[~ 19],[~ 19],[~ 19],[~ 19],[~ 19],[~ 19]
[~ 20],[~ 20],[~ 20],[~ 20],[~ 20],[~ 20],[~ 20]
[VAR COLOR(0002)]♂[VAR COLOR(0000)],[VAR COLOR(0002)]♂[VAR COLOR(0000)],[VAR COLOR(0002)]♂[VAR COLOR(0000)],[VAR COLOR(0002)]♂[VAR COLOR(0000)],[VAR COLOR(0002)]♂[VAR COLOR(0000)],[VAR COLOR(0002)]♂[VAR COLOR(0000)],[VAR COLOR(0002)]♂[VAR COLOR(0000)]
[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)]
L,L,L,L,L,L,L
[~ 24],[~ 24],[~ 24],[~ 24],[~ 24],[~ 24],[~ 24]
[~ 25],[~ 25],[~ 25],[~ 25],[~ 25],[~ 25],[~ 25]
[~ 26],[~ 26],[~ 26],[~ 26],[~ 26],[~ 26],[~ 26]
[~ 27],[~ 27],[~ 27],[~ 27],[~ 27],[~ 27],[~ 27]
[~ 28],[~ 28],[~ 28],[~ 28],[~ 28],[~ 28],[~ 28]
[~ 29],[~ 29],[~ 29],[~ 29],[~ 29],[~ 29],[~ 29]
[~ 30],[~ 30],[~ 30],[~ 30],[~ 30],[~ 30],[~ 30]
[~ 31],[~ 31],[~ 31],[~ 31],[~ 31],[~ 31],[~ 31]
×,x,×,x, x,×,×
[~ 33],[~ 33],[~ 33],[~ 33],[~ 33],[~ 33],[~ 33]
[~ 34],[~ 34],[~ 34],[~ 34],[~ 34],[~ 34],[~ 34]
[VAR ITEM2(0000)] selected.,Sélection : [VAR ITEM2(0000)],Hai selezionato [VAR 1500(0000)][VAR ITEM2(0000)]!,[VAR ITEM2(0000)] ausgewählt.,Has seleccionado [VAR 1700(0000)][VAR ITEM2(0000)].,[VAR ITEM2(0000)][VAR 1900(0002)] 어떻게 할까요?,[VAR ITEM2(0000)]を　どうしますか？
[~ 36],[~ 36],[~ 36],[~ 36],[~ 36],[~ 36],[~ 36]
This is a Key Item. You can’t throw it away.,Vous ne pouvez pas jeter un objet rare !,"Questo è uno strumento base, non puoi buttarlo via!",Basis-Items können nicht weggeworfen werden!,Este objeto es muy importante. ¡No puedes tirarlo!,이것은 중요한 물건이므로 버릴 수 없습니다!,これは　たいせつなもの　なので すてることが　できません！
