Index,en,fr
0,TEXT,"\c[2]\t[0, 479]\c[0] entre dans le batiment..."
1,TEXT,Tu n'as rien à faire ici !
2,TEXT,L'ordinateur est éteint.
3,TEXT,"Ce serveur contient les données des membres du \t[10,9].\nlIl n'y a rien d'intéressant à en tirer."
4,TEXT,"Ce serveur contient les données de toutes les personnes possédant une \c[1]\t[12, 921]\c[0] qui ont été distribuées par le \t[10,9]."
5,TEXT,Ce serveur semble gérer les différents matériels informatiques présents dans la pièce.
6,TEXT,Il est possible de manipuler le verrou électronique d'un coffre.
7,TEXT,Souhaites-tu désactiver la serrure électronique du coffre ?
8,TEXT,Le coffre est verrouillé par une serrure électronique.\nlIl doit y avoir de quoi la désactiver ici...
9,TEXT,"Le coffre est ouvert.\nlIl y a une \c[1]\t[12, 921]\c[0] à l'intérieur !"
10,TEXT,"L'\c[1]\t[12, 921]\c[0] n'est pas enregistrée à ton nom.\nlIl va falloir trouver un moyen de la mettre à jour..."
11,TEXT,Cette télévision peut être utilisé pour distraire quelqu'un.
12,TEXT,Souhaites-tu saboter la télévision ?
13,TEXT,"Souhaites-tu enregistrer l'\c[1]\t[12, 921]\c[0] que tu as trouvé à ton nom ?"
14,TEXT,"Laisser \c[2]\t[0, 479]\c[0] retourner auprès de toi ?"
15,TEXT,"\c[2]\t[0, 479]\c[0] a récupéré une \c[1]\t[12, 921]\c[0] enregistrée à ton nom, sa mission est terminée."
16,TEXT,"\c[2]\t[0, 479]\c[0] n'a pas encore récupéré d'\c[1]\t[12, 921]\c[0] enregistrée à ton nom, sa mission n'est pas terminée."
17,TEXT,Le coffre est ouvert et vide.
18,TEXT,"Ton \c[1]\t[12, 921]\c[0] est bien enregistrée à ton nom."
19,TEXT,"\c[2]\t[0, 479]\c[0] est attiré par cet appareil, il pourrait se glisser dans le bâtiment en passant par ici si cela est nécessaire..."
20,TEXT,"\c[2]\t[0, 479]\c[0] est attiré par cet appareil, il pourrait se glisser par ici pour s'infiltrer dans le bâtiment."
21,TEXT,"Laisser \c[2]\t[0, 479]\c[0] s'infiltrer dans le bâtiment ?"
22,TEXT,"Cet appareil électrique pourrait intéresser \c[2]\t[0, 479]\c[0] s'il était avec toi..."
23,TEXT,Tu vas te faire repérer si tu sors par cette porte !
24,TEXT,"\c[2]\t[0, 479]\c[0] n'a rien à faire dans ce bâtiment."
